Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore,In_reach,Agg_RS,Agg_RS20,Agg_RS30,Agg_RS50,Agg_vs_RS,Agg_RS20_vs_RS,Agg_RS30_vs_RS,Agg_RS50_vs_RS,Ag_vs_RS_ratio
886,pymongo-3.13.0,3,9.90E-05,0.0016,pymongo,0.131913145,1,0.131913145,0,0,0,1,0,0,0,1
4665,pymongo-3.7.2,1,4.50E-05,0.00046,pymongo,0.131913145,1,0.131913145,0,0,0,1,0,0,0,1
6983,pymongo-3.12.3,1,3.90E-05,0.00046,pymongo,0.131913145,1,0.131913145,0,0,0,1,0,0,0,1
9117,pymongo-3.10.1,1,4.50E-05,0.00046,pymongo,0.131913145,1,0.131913145,0,0,0,1,0,0,0,1
9568,pymongo-3.11.3,1,3.80E-05,0.00046,pymongo,0.131913145,1,0.131913145,0,0,0,1,0,0,0,1
11833,pymongo-4.2.0,1,3.80E-05,0.00046,pymongo,0.131913145,1,0.131913145,0,0,0,1,0,0,0,1
1680,sqlalchemy-1.3.24,15,0.000171,0.00789,sqlalchemy,0.223702889,1,0.223702889,0.223702889,0,0,1,1,0,0,1
5423,sqlalchemy-1.3.20,1,4.20E-05,0.00046,sqlalchemy,0.223702889,1,0.223702889,0.223702889,0,0,1,1,0,0,1
9792,sqlalchemy-1.3.22,2,4.10E-05,0.00094,sqlalchemy,0.223702889,1,0.223702889,0.223702889,0,0,1,1,0,0,1
10,numpy-1.24.2,1927,0.024948,1,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
15,numpy-1.23.5,219,0.005681,0.190205,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
16,numpy-1.21.6,33,0.001736,0.064446,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
17,numpy-1.22.4,39,0.002753,0.085008,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
18,numpy-1.21.5,23,0.002079,0.069577,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
21,numpy-1.22.1,20,0.001408,0.050323,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
50,numpy-1.22.2,6,0.000871,0.02258,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
51,numpy-1.22.3,21,0.001149,0.03666,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
380,numpy-1.23.0,6,0.000133,0.00417,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
381,numpy-1.24.1,8,0.000192,0.0056,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
1338,numpy-1.21.4,2,6.40E-05,0.00133,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
4653,numpy-1.23.1,4,8.50E-05,0.00187,numpy,0.260893907,1,0.260893907,0.260893907,0,0,1,1,0,0,1
228,lxml-4.9.2,291,0.003007,0.13769,lxml,0.266529022,1,0.266529022,0.266529022,0,0,1,1,0,0,1
1454,lxml-4.6.5,1,3.70E-05,0.00046,lxml,0.266529022,1,0.266529022,0.266529022,0,0,1,1,0,0,1
4099,lxml-4.6.3,2,5.00E-05,0.00091,lxml,0.266529022,1,0.266529022,0.266529022,0,0,1,1,0,0,1
7942,lxml-4.8.0,2,4.90E-05,0.00091,lxml,0.266529022,1,0.266529022,0.266529022,0,0,1,1,0,0,1
10041,lxml-4.9.1,4,4.80E-05,0.00185,lxml,0.266529022,1,0.266529022,0.266529022,0,0,1,1,0,0,1
106,regex-2023.3.23,54,0.000799,0.02727,regex,0.382117397,1,0.382117397,0.382117397,0.382117397,0,1,1,1,0,1
866,regex-2022.4.24,7,5.70E-05,0.00342,regex,0.382117397,1,0.382117397,0.382117397,0.382117397,0,1,1,1,0,1
1944,regex-2022.10.31,4,4.80E-05,0.00216,regex,0.382117397,1,0.382117397,0.382117397,0.382117397,0,1,1,1,0,1
3454,regex-2020.11.13,1,4.60E-05,0.00048,regex,0.382117397,1,0.382117397,0.382117397,0.382117397,0,1,1,1,0,1
11528,regex-2021.4.4,1,4.20E-05,0.00046,regex,0.382117397,1,0.382117397,0.382117397,0.382117397,0,1,1,1,0,1
12,pillow-9.5.0,268,0.002966,0.143346,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
19,pillow-8.4.0,13,0.000406,0.02144,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
5428,pillow-9.0.1,3,4.20E-05,0.00151,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
7423,pillow-9.2.0,2,4.40E-05,0.00094,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
7538,pillow-9.1.0,2,3.70E-05,0.00103,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
11141,pillow-9.4.0,2,4.70E-05,0.00094,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
11954,pillow-9.3.0,1,4.50E-05,0.00046,pillow,0.390081507,1,0.390081507,0.390081507,0.390081507,0,1,1,1,0,1
3856,coverage-4.5.4,2,4.80E-05,0.00094,coverage,0.397446824,1,0.397446824,0.397446824,0.397446824,0,1,1,1,0,1
4250,coverage-4.1,1,3.70E-05,0.00046,coverage,0.397446824,1,0.397446824,0.397446824,0.397446824,0,1,1,1,0,1
7841,coverage-5.0.3,3,5.40E-05,0.00139,coverage,0.397446824,1,0.397446824,0.397446824,0.397446824,0,1,1,1,0,1
219,setuptools-67.6.1,435,0.008323,0.22734,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
3632,setuptools-56.0.0,3,6.70E-05,0.00142,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
3980,setuptools-65.7.0,6,0.000132,0.00317,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
6352,setuptools-59.8.0,1,3.90E-05,0.00046,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
8962,setuptools-62.6.0,1,3.90E-05,0.00046,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
11249,setuptools-61.2.0,1,3.90E-05,0.00046,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
11407,setuptools-46.4.0,2,4.40E-05,0.00094,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
12383,setuptools-39.2.0,1,4.10E-05,0.00046,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
12462,setuptools-41.4.0,1,4.50E-05,0.00046,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
12891,setuptools-52.0.0,1,4.50E-05,0.00046,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
13029,setuptools-67.1.0,4,5.00E-05,0.00192,setuptools,0.400968822,1,0.400968822,0.400968822,0.400968822,0,1,1,1,0,1
820,cython-0.29.34,58,0.000538,0.02747,cython,0.403906819,1,0.403906819,0.403906819,0.403906819,0,1,1,1,0,1
6120,azure-common-1.1.28,4,7.80E-05,0.00209,azure-common,0.411555059,1,0.411555059,0.411555059,0.411555059,0,1,1,1,0,1
8684,clang-format-14.0.6,1,3.90E-05,0.00046,clang-format,0.414793486,1,0.414793486,0.414793486,0.414793486,0,1,1,1,0,1
10389,apache-airflow-providers-ftp-3.3.1,1,3.60E-05,0.00048,apache-airflow-providers-ftp,0.418313998,1,0.418313998,0.418313998,0.418313998,0,1,1,1,0,1
1342,pygame-2.3.0,41,0.000556,0.01876,pygame,0.440866313,1,0.440866313,0.440866313,0.440866313,0,1,1,1,0,1
7344,pygame-2.1.2,1,5.60E-05,0.00048,pygame,0.440866313,1,0.440866313,0.440866313,0.440866313,0,1,1,1,0,1
641,pip-23.1,33,0.000527,0.01697,pip,0.446073866,1,0.446073866,0.446073866,0.446073866,0,1,1,1,0,1
2299,pip-23.0.1,10,0.000153,0.00509,pip,0.446073866,1,0.446073866,0.446073866,0.446073866,0,1,1,1,0,1
4253,pip-8.1.2,1,3.70E-05,0.00046,pip,0.446073866,1,0.446073866,0.446073866,0.446073866,0,1,1,1,0,1
11301,pip-9.0.1,1,4.50E-05,0.00046,pip,0.446073866,1,0.446073866,0.446073866,0.446073866,0,1,1,1,0,1
12658,pip-22.3.1,1,3.70E-05,0.00048,pip,0.446073866,1,0.446073866,0.446073866,0.446073866,0,1,1,1,0,1
1049,fastavro-1.7.3,3,5.70E-05,0.00139,fastavro,0.44844627,1,0.44844627,0.44844627,0.44844627,0,1,1,1,0,1
8617,hypothesis-3.4.2,1,6.50E-05,0.00046,hypothesis,0.478982695,1,0.478982695,0.478982695,0.478982695,0,1,1,1,0,1
2901,falcon-2.0.0,1,0.000119,0.00066,falcon,0.491275804,1,0.491275804,0.491275804,0.491275804,0,1,1,1,0,1
2937,falcon-3.1.1,9,0.000148,0.00418,falcon,0.491275804,1,0.491275804,0.491275804,0.491275804,0,1,1,1,0,1
3951,boto-2.49.0,12,0.000179,0.00557,boto,0.49978448,1,0.49978448,0.49978448,0.49978448,0,1,1,1,0,1
5026,pathwalker-1.1.1,1,5.30E-05,0.00048,pathwalker,0.51171152,1,0.51171152,0.51171152,0.51171152,0.51171152,1,1,1,1,1
894,requests-2.4.3,6,0.000125,0.00274,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
1402,requests-2.2.1,2,7.90E-05,0.00091,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
1502,requests-2.11.1,4,0.000126,0.0019,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
2103,requests-2.9.1,5,0.000134,0.00229,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
2353,requests-2.10.0,5,0.000144,0.00231,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
4043,requests-2.3.0,1,6.50E-05,0.00046,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
4349,requests-2.7.0,3,7.20E-05,0.00137,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
4467,requests-2.6.0,1,5.00E-05,0.00046,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
5672,requests-2.8.1,1,5.00E-05,0.00046,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
7439,requests-2.12.3,2,8.30E-05,0.00094,requests,0.515598341,1,0.515598341,0.515598341,0.515598341,0.515598341,1,1,1,1,1
