Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category,PR_Category,,,
0,gromacs-py-2.0.3,5,0.000035,0,0.68386668,M,T,,,
1,matplotlib-3.7.1,655,0.004566,0.303955,0.396813469,L,T,,,
2,os-command-py-1.1.0,2,0.00005,0.000936,0.84753316,H,T,,,
3,pandas-2.0.0,849,0.006316,0.40139,0.820746042,H,D,,,
4,pdb-manip-py-1.4.2,5,0.000041,0.000457,0.835887941,H,T,,,
5,tqdm-4.65.0,393,0.002428,0.187177,0.619815336,M,T,,,
6,contourpy-1.0.7,9,0.000294,0.016168,0.805287543,H,T,,,
7,cycler-0.11.0,12,0.000319,0.020275,0.759591482,H,T,,,
8,fonttools-4.39.3,29,0.000665,0.026256,0.547940771,M,T,,,
9,kiwisolver-1.4.4,14,0.000342,0.021345,0.595092828,M,T,,,
10,numpy-1.24.2,1927,0.024948,1,0.260893907,L,D,,,
11,packaging-23.1,273,0.00359,0.169708,0.593759389,M,T,,,
12,pillow-9.5.0,268,0.002966,0.143346,0.390081507,L,T,,,
13,pyparsing-3.0.9,74,0.002492,0.05472,0.573270314,M,T,,,
14,python-dateutil-2.8.2,404,0.005547,0.233324,0.838665925,H,D,,,
15,numpy-1.23.5,219,0.005681,0.190205,0.260893907,L,D,,,
16,numpy-1.21.6,33,0.001736,0.064446,0.260893907,L,T,,,
17,numpy-1.22.4,39,0.002753,0.085008,0.260893907,L,T,,,
18,numpy-1.21.5,23,0.002079,0.069577,0.260893907,L,T,,,
19,pillow-8.4.0,13,0.000406,0.02144,0.390081507,L,T,,,
20,packaging-21.3,32,0.00089,0.035557,0.593759389,M,T,,,
21,numpy-1.22.1,20,0.001408,0.050323,0.260893907,L,T,,,
22,six-1.16.0,893,0.020897,0.460884,0.758409361,H,D,,,
23,six-1.15.0,15,0.002812,0.017629,0.758409361,H,T,,,
24,pytz-2023.3,200,0.003114,0.121442,0.786790187,H,T,,,
25,tzdata-2023.3,5,0.000998,0.021274,0.744991043,M,T,,,
26,pdb2pqr-3.5.2,6,0.000044,0.000479,0.764545825,H,T,,,
27,scipy-1.10.1,819,0.006276,0.396154,0.337577653,L,D,,,
28,docutils-0.17.1,8,0.000086,0.003857,0.671641247,M,T,,,
29,mmcif-pdbx-2.0.1,2,0.000047,0.000937,0.95736333,H,T,,,
30,propka-3.5.0,1,0.000042,0.00048,0.671641247,M,T,,,
