Id,Label,Degree,Pageranks,Eigencentrality
0,gromacs-py-2.0.3,5,0.000035,0.000000
1,matplotlib-3.7.1,655,0.004566,0.303955
2,os-command-py-1.1.0,2,0.000050,0.000936
3,pandas-2.0.0,849,0.006316,0.401390
4,pdb-manip-py-1.4.2,5,0.000041,0.000457
5,tqdm-4.65.0,393,0.002428,0.187177
6,contourpy-1.0.7,9,0.000294,0.016168
7,cycler-0.11.0,12,0.000319,0.020275
8,fonttools-4.39.3,29,0.000665,0.026256
9,kiwisolver-1.4.4,14,0.000342,0.021345
10,numpy-1.24.2,1927,0.024948,1.000000
11,packaging-23.1,273,0.003590,0.169708
12,pillow-9.5.0,268,0.002966,0.143346
13,pyparsing-3.0.9,74,0.002492,0.054720
14,python-dateutil-2.8.2,404,0.005547,0.233324
15,numpy-1.23.5,219,0.005681,0.190205
16,numpy-1.21.6,33,0.001736,0.064446
17,numpy-1.22.4,39,0.002753,0.085008
18,numpy-1.21.5,23,0.002079,0.069577
19,pillow-8.4.0,13,0.000406,0.021440
20,packaging-21.3,32,0.000890,0.035557
21,numpy-1.22.1,20,0.001408,0.050323
22,six-1.16.0,893,0.020897,0.460884
23,six-1.15.0,15,0.002812,0.017629
24,pytz-2023.3,200,0.003114,0.121442
25,tzdata-2023.3,5,0.000998,0.021274
26,pdb2pqr-3.5.2,6,0.000044,0.000479
27,scipy-1.10.1,819,0.006276,0.396154
28,docutils-0.17.1,8,0.000086,0.003857
29,mmcif-pdbx-2.0.1,2,0.000047,0.000937
30,propka-3.5.0,1,0.000042,0.000480
31,requests-2.28.2,1915,0.025964,0.906595
32,certifi-2022.12.7,142,0.003763,0.123986
33,charset-normalizer-3.1.0,11,0.001572,0.054054
34,idna-3.4,41,0.003475,0.077516
35,urllib3-1.26.15,223,0.004022,0.151327
36,pysocks-1.7.1,13,0.001858,0.05515
37,charset-normalizer-2.1.1,6,0.001292,0.04602
38,urllib3-1.26.7,6,0.001361,0.04663
39,certifi-2018.4.16,2,0.001266,0.04363
40,idna-2.7,6,0.001408,0.04666
41,idna-2.10,21,0.001561,0.05494
42,urllib3-1.25.8,2,0.001264,0.04363
43,charset-normalizer-3.0.1,4,0.001264,0.04456
44,urllib3-1.26.14,5,0.001295,0.04507
45,urllib3-1.24.2,2,0.001267,0.04363
46,certifi-2020.12.5,11,0.001351,0.04850
47,certifi-2018.11.29,6,0.001362,0.04621
48,certifi-2021.10.8,8,0.001380,0.04752
49,urllib3-1.25.11,11,0.001455,0.04901
50,numpy-1.22.2,6,0.000871,0.02258
51,numpy-1.22.3,21,0.001149,0.03666
52,goedwig-0.2.0,1,0.000035,0.00000
53,icecream-2.1.3,5,0.000065,0.00046
54,asttokens-2.2.1,9,0.000169,0.00403
55,colorama-0.4.6,166,0.001805,0.07894
56,executing-1.2.0,7,0.000175,0.00348
57,pygments-2.15.0,117,0.001492,0.06241
58,hubitatmaker-0.6.1,2,0.000035,0.00000
59,aiohttp-3.8.4,243,0.002798,0.10810
60,getmac-0.9.3,2,0.000065,0.00091
61,aiosignal-1.3.1,6,0.000205,0.00777
62,async-timeout-4.0.2,31,0.000926,0.02149
63,attrs-23.1.0,90,0.001288,0.05565
64,frozenlist-1.3.3,8,0.000410,0.00938
65,multidict-6.0.4,25,0.000773,0.02090
66,yarl-1.8.2,44,0.000646,0.02443
67,aiodns-3.0.0,9,0.000227,0.00892
68,brotli-1.0.9,19,0.000415,0.01508
69,attrs-22.2.0,93,0.001203,0.05659
70,attrs-19.1.0,6,0.000214,0.00791
71,yarl-1.8.1,7,0.000198,0.00764
72,attrs-20.3.0,6,0.000206,0.00789
73,attrs-21.4.0,31,0.000556,0.02317
74,yarl-1.1.1,4,0.000189,0.00602
75,multidict-5.2.0,6,0.000310,0.00912
76,multidict-4.7.6,8,0.000211,0.00497
77,humble-0.1.2,3,0.000035,0.00000
78,clint-0.5.1,8,0.000097,0.00324
79,github2-0.6.2,3,0.000045,0.00046
80,args-0.1.0,2,0.000118,0.00107
81,httplib2-0.22.0,61,0.000772,0.03305
82,gym-armed-bandits-0.0.1,2,0.000035,0.00000
83,gym-0.26.2,114,0.001530,0.05042
84,cloudpickle-2.2.1,44,0.000731,0.02472
85,gym-notices-0.0.8,4,0.000410,0.00439
86,hashchain-1.0.0,2,0.000035,0.00000
87,pysha3-1.0.2,7,0.000098,0.00335
88,web3-6.2.0,21,0.000080,0.00277
89,eth-abi-4.0.0,10,0.000066,0.00299
90,eth-account-0.8.0,11,0.000051,0.00153
91,eth-hash-0.5.1,11,0.000197,0.00490
92,eth-typing-3.3.0,9,0.000186,0.00503
93,eth-utils-2.1.0,18,0.000222,0.00777
