Package,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
flatbuffers,7.73,0.638825452,6.38825452,99,0.1,675,flatbuffers-23.3.3,7,0.000108,0.00444,1,4.739418173
charset-normalizer,7.54,0.753981657,7.53981657,91,0.9,33,charset-normalizer-3.1.0,11,0.001572,0.054054,1,5.326605523
requests,7.51,0.515598341,5.15598341,96,0.4,31,requests-2.28.2,1915,0.025964,0.906595,27,4.355327803
pyhanko,6.95,0.657217689,6.57217689,87,1.3,10775,pyhanko-0.17.2,10,3.90E-05,0.00048,32,4.94072563
defusedxml,6.84,0.934873627,9.34873627,75,2.5,485,defusedxml-0.7.1,34,0.000465,0.0176,1,6.229578757
functions-framework,6.76,0.7688418,7.688418,83,1.7,2006,functions-framework-3.3.0,6,3.80E-05,0.00046,19,5.382806
botocore,6.73,0.294020913,2.94020913,100,0,567,botocore-1.29.114,20,0.000316,0.00879,18,3.223403043
cryptography,6.59,0.847395434,8.47395434,97,0.3,152,cryptography-40.0.2,140,0.003152,0.07871,4,5.121318113
click,6.57,0.786075881,7.86075881,97,0.3,143,click-8.1.3,587,0.007014,0.28405,1,4.910252937
aiohttp,6.57,0.327320982,3.27320982,97,0.3,59,aiohttp-3.8.4,243,0.002798,0.1081,25,3.38106994
pyarrow,6.54,0.534830208,5.34830208,94,0.6,578,pyarrow-11.0.0,37,0.000207,0.01706,4,4.16276736
flask,6.46,0.763313977,7.63313977,97,0.3,139,flask-2.2.3,161,0.001773,0.07513,10,4.797713257
twisted,6.46,0.552022574,5.52022574,89,1.1,1196,twisted-22.10.0,42,0.000308,0.01502,22,4.360075247
presidio-analyzer,6.46,0.587152631,5.87152631,81,1.9,8239,presidio-analyzer-2.2.31,6,4.20E-05,0.00046,124,4.743842103
presidio-anonymizer,6.46,0.588974631,5.88974631,87,1.3,8240,presidio-anonymizer-2.2.32,2,4.20E-05,0.00046,2,4.549915437
markupsafe,6.43,0.855779958,8.55779958,93,0.7,148,markupsafe-2.1.2,39,0.002057,0.02799,1,5.229266527
certifi,6.41,0.607135444,6.07135444,91,0.9,32,certifi-2022.12.7,142,0.003763,0.123986,1,4.46045148
coverage,6.41,0.397446824,3.97446824,97,0.3,498,coverage-7.2.3,19,0.000289,0.00896,2,3.561489413
attrs,6.35,0.827546126,8.27546126,96,0.4,63,attrs-23.1.0,90,0.001288,0.05565,1,5.008487087
scapy,6.32,0.646791599,6.46791599,88,1.2,174,scapy-2.5.0,6,7.10E-05,0.00277,1,4.662638663
jsii,6.32,0.55815574,5.5815574,97,0.3,8781,jsii-1.80.0,35,0.000284,0.01591,13,4.0671858
google-cloud-secret-manager,6.27,0.757513973,7.57513973,100,0,1866,google-cloud-secret-manager-2.7.2,6,3.90E-05,0.00046,59,4.615046577
google-cloud-resource-manager,6.27,0.752782276,7.52782276,94,0.6,2653,google-cloud-resource-manager-1.9.1,6,4.00E-05,0.00052,52,4.799274253
google-cloud-appengine-logging,6.27,0.789872127,7.89872127,100,0,2010,google-cloud-appengine-logging-1.3.0,6,4.90E-05,0.001,51,4.72290709
google-cloud-datacatalog,6.27,0.750063827,7.50063827,97,0.3,3580,google-cloud-datacatalog-2.0.2,6,5.50E-05,0.00057,58,4.690212757
google-cloud-container,6.27,0.751118279,7.51118279,97,0.3,13376,google-cloud-container-2.20.0,3,3.50E-05,0,51,4.693727597
google-cloud-language,6.27,0.725861571,7.25861571,97,0.3,9301,google-cloud-language-2.9.1,4,6.50E-05,0.00046,51,4.60953857
google-cloud-bigquery-datatransfer,6.27,0.747056196,7.47056196,97,0.3,8447,google-cloud-bigquery-datatransfer-3.11.1,3,3.50E-05,0,51,4.68018732
google-cloud-workflows,6.27,0.774561121,7.74561121,97,0.3,3020,google-cloud-workflows-1.10.1,3,3.50E-05,0,51,4.771870403
google-cloud-redis,6.27,0.759500125,7.59500125,97,0.3,2097,google-cloud-redis-2.12.1,3,3.50E-05,0,51,4.721667083
google-cloud-recommendations-ai,6.27,0.78263801,7.8263801,97,0.3,5072,google-cloud-recommendations-ai-0.10.3,3,3.50E-05,0,51,4.798793367
google-cloud-dataplex,6.27,0.804686013,8.04686013,97,0.3,4837,google-cloud-dataplex-1.4.3,4,3.50E-05,0,52,4.87228671
google-cloud-dataproc-metastore,6.27,0.785848744,7.85848744,97,0.3,4481,google-cloud-dataproc-metastore-1.10.1,4,3.50E-05,0,52,4.809495813
google-cloud-orchestration-airflow,6.27,0.789801136,7.89801136,91,0.9,5834,google-cloud-orchestration-airflow-1.7.1,3,3.50E-05,0,51,5.022670453
google-cloud-memcache,6.27,0.779726908,7.79726908,97,0.3,2788,google-cloud-memcache-1.7.1,3,3.50E-05,0,51,4.789089693
google-cloud-dataform,6.27,0.812058141,8.12058141,97,0.3,4129,google-cloud-dataform-0.5.1,4,3.50E-05,0,52,4.89686047
google-cloud-texttospeech,6.27,0.746031872,7.46031872,97,0.3,3960,google-cloud-texttospeech-0.2.0,2,4.20E-05,0.00046,47,4.676772907
google-cloud-iam,6.27,0.758703033,7.58703033,93,0.7,13055,google-cloud-iam-2.12.0,3,3.50E-05,0,51,4.852343443
google-cloud-artifact-registry,6.27,0.774823025,7.74823025,93,0.7,7638,google-cloud-artifact-registry-1.8.1,4,3.50E-05,0,52,4.90607675
google-cloud-scheduler,6.27,0.754784141,7.54784141,93,0.7,11713,google-cloud-scheduler-2.11.0,3,3.50E-05,0,51,4.83928047
google-cloud-private-ca,6.27,0.767044412,7.67044412,93,0.7,2474,google-cloud-private-ca-1.8.0,4,3.50E-05,0,52,4.88014804
google-cloud-os-config,6.27,0.779472389,7.79472389,93,0.7,4793,google-cloud-os-config-1.15.1,4,3.90E-05,0.00046,51,4.92157463
google-cloud-certificate-manager,6.27,0.811758683,8.11758683,88,1.2,12597,google-cloud-certificate-manager-1.4.2,3,3.50E-05,0,51,5.195862277
google-cloud-dialogflow-cx,6.27,0.762607008,7.62607008,93,0.7,9424,google-cloud-dialogflow-cx-1.20.1,3,3.50E-05,0,51,4.865356693
google-cloud-recaptcha-enterprise,6.27,0.768566551,7.68566551,93,0.7,9754,google-cloud-recaptcha-enterprise-1.12.0,3,3.50E-05,0,51,4.885221837
google-cloud-batch,6.27,0.799077981,7.99077981,93,0.7,5520,google-cloud-batch-0.10.0,3,3.50E-05,0,51,4.986926603
google-cloud-functions,6.27,0.77691577,7.7691577,93,0.7,9751,google-cloud-functions-1.12.0,4,3.50E-05,0,52,4.913052567
google-cloud-billing,6.27,0.779580041,7.79580041,93,0.7,1861,google-cloud-billing-1.10.1,4,3.50E-05,0,52,4.92193347
google-cloud-dialogflow,6.27,0.748201867,7.48201867,93,0.7,2270,google-cloud-dialogflow-2.21.0,3,3.50E-05,0,51,4.817339557
google-cloud-notebooks,6.27,0.782560894,7.82560894,93,0.7,3739,google-cloud-notebooks-1.6.1,6,3.90E-05,0.00046,52,4.931869647
google-cloud-documentai,6.27,0.762858654,7.62858654,93,0.7,1297,google-cloud-documentai-2.15.0,4,4.10E-05,0.00046,51,4.866195513
