Package,OpenSSF_SS,OpenSSF_RS,Custom_SC,Custom_RS,Snyk_SC,Snyk_RS,Id,Label,Degree,Pageranks,Eigencentrality,In_reach,Avg_RS
google-cloud-dataproc,3.35,6.65,0.74424516,7.4424516,58,4.2,6486,google-cloud-dataproc-5.4.1,4,3.50E-05,0,52,6.097483867
google-cloud-dlp,3.3,6.7,0.748502629,7.48502629,58,4.2,4914,google-cloud-dlp-3.12.1,3,3.50E-05,0,51,6.128342097
google-cloud-videointelligence,3.3,6.7,0.731132386,7.31132386,58,4.2,2131,google-cloud-videointelligence-2.11.1,3,3.50E-05,0,51,6.070441287
speedtest-cli,1.89,8.11,0.708125808,7.08125808,58,4.2,7934,speedtest-cli-2.1.3,3,5.30E-05,0.00137,1,6.463752693
olefile,0,10,0.761452775,7.61452775,58,4.2,1895,olefile-0.46,5,7.20E-05,0.00238,1,7.27150925
python-intercom,0,10,0.75931312,7.5931312,58,4.2,12077,python-intercom-3.1.0,6,4.50E-05,0.00046,31,7.264377067
easydict,0,10,0.654653041,6.54653041,59,4.1,1695,easydict-1.10,2,6.00E-05,0.00091,1,6.882176803
pytesseract,3.95,6.05,0.881957255,8.81957255,60,4,2149,pytesseract-0.3.10,4,4.00E-05,0.00091,3,6.289857517
imagehash,3.78,6.22,0.619755407,6.19755407,60,4,4582,imagehash-4.3.1,6,4.90E-05,0.00094,13,5.472518023
bitmath,3.14,6.86,0.775946131,7.75946131,60,4,5169,bitmath-1.3.3.1,1,4.20E-05,0.00048,1,6.206487103
datapackage,3.05,6.95,0.743676782,7.43676782,60,4,7174,datapackage-1.15.2,10,3.80E-05,0.00046,73,6.128922607
tableschema,2.97,7.03,0.678659886,6.78659886,,10,7175,tableschema-1.20.2,12,4.20E-05,0.00094,72,7.938866287
meshio,2.97,7.03,0.713025905,7.13025905,60,4,3374,meshio-5.3.4,6,5.20E-05,0.00183,10,6.053419683
maya,2.97,7.03,0.611198006,6.11198006,60,4,7116,maya-0.6.1,7,3.70E-05,0.00048,15,5.713993353
matrix-client,2.76,7.24,0.735369267,7.35369267,60,4,4102,matrix-client-0.4.0,3,4.50E-05,0.00046,28,6.197897557
warcio,2.46,7.54,0.699083198,6.99083198,60,4,5328,warcio-1.7.4,4,5.40E-05,0.00139,2,6.176943993
mapbox,2.05,7.95,0.745416127,7.45416127,60,4,8225,mapbox-0.18.1,8,4.50E-05,0.00046,48,6.468053757
pyjks,1.89,8.11,0.775312955,7.75312955,60,4,1074,pyjks-20.0.0,13,6.50E-05,0.0037,6,6.621043183
pyactiveresource,0,10,0.777673525,7.77673525,60,4,6053,pyactiveresource-2.2.2,2,4.50E-05,0.00046,2,7.25891175
flask-testing,0,10,0.738015415,7.38015415,60,4,7963,flask-testing-0.8.1,2,3.60E-05,0.00048,11,7.12671805
vobject,0,10,0.674890024,6.74890024,60,4,4299,vobject-0.9.6.1,3,7.40E-05,0.00091,4,6.91630008
python-whois,0,10,0.739410472,7.39410472,60,4,2559,python-whois-0.8.0,4,4.00E-05,0.00137,2,7.13136824
pyshorteners,0,10,0.75931611,7.5931611,60,4,8889,pyshorteners-1.0.1,2,4.20E-05,0.00046,28,7.197720367
flex,0,10,0.7439606,7.439606,60,4,4873,flex-6.14.1,9,3.80E-05,0.00048,35,7.146535333
moz-sql-parser,0,10,0.61673699,6.1673699,60,4,10604,moz-sql-parser-4.40.21126,4,4.20E-05,0.00046,6,6.722456633
clint,0,10,0.597938569,5.97938569,60,4,78,clint-0.5.1,8,9.70E-05,0.00324,2,6.65979523
daiquiri,0,10,0.774508445,7.74508445,60,4,5131,daiquiri-3.2.1,2,4.10E-05,0.00046,2,7.248361483
google-cloud-tasks,3.84,6.16,0.752954473,7.52954473,61,3.9,1024,google-cloud-tasks-2.13.1,5,4.70E-05,0.00048,52,5.863181577
utm,3.84,6.16,0.691226909,6.91226909,61,3.9,2319,utm-0.7.0,4,5.00E-05,0.00183,1,5.65742303
pyvirtualdisplay,3.78,6.22,0.642212709,6.42212709,61,3.9,2123,pyvirtualdisplay-3.0,3,7.10E-05,0.00137,1,5.514042363
