Label,Pageranks
numpy-1.24.2,0.024948
requests-2.28.2,0.025964
six-1.16.0,0.020897
pandas-2.0.0,0.006316
scipy-1.10.1,0.006276
pyyaml-6.0,0.006842
matplotlib-3.7.1,0.004566
click-8.1.3,0.007014
python-dateutil-2.8.2,0.005547
setuptools-67.6.1,0.008323
numpy-1.23.5,0.005681
tqdm-4.65.0,0.002428
packaging-23.1,0.00359
urllib3-1.26.15,0.004022
typing-extensions-4.5.0,0.004811
pillow-9.5.0,0.002966
lxml-4.9.2,0.003007
jinja2-3.1.2,0.002919
protobuf-4.22.3,0.00359
scikit-learn-1.2.2,0.001508
certifi-2022.12.7,0.003763
pytz-2023.3,0.003114
beautifulsoup4-4.12.2,0.002249
aiohttp-3.8.4,0.002798
google-api-core-2.11.0,0.001807
numpy-1.22.4,0.002753
networkx-3.1,0.001291
colorama-0.4.6,0.001805
cryptography-40.0.2,0.003152
idna-3.4,0.003475
proto-plus-1.22.2,0.001502
flask-2.2.3,0.001773
future-0.18.3,0.001809
pydantic-1.10.7,0.001503
numpy-1.21.5,0.002079
h5py-3.8.0,0.001075
numpy-1.21.6,0.001736
torch-2.0.0,0.001438
pygments-2.15.0,0.001492
huaweicloudsdkcore-3.1.36,0.003919
astropy-5.2.2,0.000882
attrs-22.2.0,0.001203
pytest-7.3.1,0.001057
zope-interface-6.0,0.001404
attrs-23.1.0,0.001288
pysocks-1.7.1,0.001858
idna-2.10,0.001561
pyparsing-3.0.9,0.002492
tabulate-0.9.0,0.000864
charset-normalizer-3.1.0,0.001572
appdirs-1.4.4,0.000923
jsonschema-4.17.3,0.0008
docopt-0.6.2,0.00139
gym-0.26.2,0.00153
numpy-1.22.1,0.001408
urllib3-1.25.11,0.001455
sqlalchemy-2.0.9,0.000923
certifi-2020.12.5,0.001351
certifi-2021.10.8,0.00138
grpcio-1.53.0,0.001337
idna-2.7,0.001408
urllib3-1.26.7,0.001361
django-4.2,0.002142
certifi-2018.11.29,0.001362
joblib-1.2.0,0.000723
charset-normalizer-2.1.1,0.001292
urllib3-1.26.14,0.001295
pandas-1.5.3,0.000602
charset-normalizer-3.0.1,0.001264
google-auth-2.17.3,0.001078
seaborn-0.12.2,0.000422
urllib3-1.24.2,0.001267
certifi-2018.4.16,0.001266
urllib3-1.25.8,0.001264
protobuf-3.20.3,0.001692
psutil-5.9.4,0.000771
gitpython-3.1.31,0.000933
toml-0.10.2,0.000646
cffi-1.15.1,0.00673
rich-13.3.4,0.000749
pbr-5.11.1,0.001159
pyjwt-2.6.0,0.000814
numpy-1.22.3,0.001149
bs4-0.0.1,0.000774
click-7.1.2,0.001058
packaging-21.3,0.00089
traitlets-5.9.0,0.000813
google-api-python-client-2.85.0,0.000684
ipython-8.12.0,0.000506
decorator-5.1.1,0.000888
httplib2-0.22.0,0.000772
opencv-python-4.7.0.72,0.000553
httpx-0.24.0,0.000787
tomli-2.0.1,0.001175
termcolor-2.2.0,0.00078
argparse-1.4.0,0.000776
googleapis-common-protos-1.59.0,0.00078
wrapt-1.15.0,0.001337
pyopenssl-23.1.1,0.000872
ruamel-yaml-0.17.21,0.000567
wheel-0.40.0,0.000893
tornado-6.2,0.000596
markupsafe-2.1.2,0.002057
cython-0.29.34,0.000538
oauth2client-4.1.3,0.000534
regex-2023.3.23,0.000799
werkzeug-2.2.3,0.000752
openpyxl-3.1.2,0.000291
statsmodels-0.13.5,0.000315
pyserial-3.5,0.001117
simplejson-3.19.1,0.001199
fonttools-4.39.3,0.000665
grpc-google-iam-v1-0.12.6,0.000456
scikit-image-0.20.0,0.000352
dill-0.3.6,0.000415
cloudpickle-2.2.1,0.000731
markdown-3.4.3,0.0006
yarl-1.8.2,0.000646
sklearn-0.0.post4,0.000299
babel-2.12.1,0.000848
redis-4.5.4,0.00066
msgpack-1.0.5,0.000432
docutils-0.19,0.000502
google-auth-httplib2-0.1.0,0.000407
psutil-5.9.5,0.00036
attrs-21.4.0,0.000556
requests-toolbelt-0.10.1,0.001247
filelock-3.11.0,0.000473
selenium-4.8.3,0.000742
pycryptodome-3.17,0.000704
requests-oauthlib-1.3.1,0.000627
numpy-1.22.2,0.000871
boto3-1.26.114,0.000556
websocket-client-1.5.1,0.000421
tensorflow-2.12.0,0.00048
prettytable-3.7.0,0.000351
pyyaml-5.4.1,0.000503
cryptography-40.0.1,0.001326
zope-component-6.0,0.000217
async-timeout-4.0.2,0.000926
pillow-8.4.0,0.000406
kiwisolver-1.4.4,0.000342
tzdata-2023.3,0.000998
iso8601-1.1.0,0.000375
httpie-3.2.1,0.000955
pyasn1-0.4.8,0.001454
multidict-6.0.4,0.000773
absl-py-1.4.0,0.000328
plotly-5.14.1,0.000243
chardet-5.1.0,0.000458
numba-0.56.4,0.000386
cycler-0.11.0,0.000319
typeguard-2.13.3,0.000402
html5lib-1.1,0.000455
paramiko-3.1.0,0.000623
jmespath-1.0.1,0.000783
google-auth-oauthlib-1.0.0,0.000382
pyqt5-5.15.9,0.000358
sortedcontainers-2.4.0,0.00063
chardet-3.0.4,0.000414
tzlocal-4.3,0.000343
xarray-2023.4.0,0.000227
shapely-2.0.1,0.000271
deprecated-1.2.13,0.000443
pygame-2.3.0,0.000556
marshmallow-3.19.0,0.000417
xmltodict-0.13.0,0.000418
oslo-utils-6.1.0,0.000183
cachetools-5.3.0,0.000457
watchdog-3.0.0,0.000491
oslo-i18n-6.0.0,0.000185
python-dotenv-1.0.0,0.000391
sqlalchemy-1.4.47,0.000403
gevent-22.10.2,0.000614
biopython-1.81,0.000384
more-itertools-9.1.0,0.000486
google-auth-1.35.0,0.000467
six-1.15.0,0.002812
defusedxml-0.7.1,0.000465
sphinx-6.1.3,0.000529
