,Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,Category
31,31,requests-2.28.2,1915,0.025964,0.906595,0.479586308,L
10,10,numpy-1.24.2,1927,0.024948,1,0.260893907,L
22,22,six-1.16.0,893,0.020897,0.460884,0.654854174,M
219,219,setuptools-67.6.1,435,0.008323,0.22734,0.400968822,L
143,143,click-8.1.3,587,0.007014,0.28405,0.781040554,H
184,184,pyyaml-6.0,630,0.006842,0.3076,0.582502359,M
155,155,cffi-1.15.1,74,0.00673,0.04071,0.573668716,M
3,3,pandas-2.0.0,849,0.006316,0.40139,0.352055022,L
27,27,scipy-1.10.1,819,0.006276,0.396154,0.337577653,L
15,15,numpy-1.23.5,219,0.005681,0.190205,0.260893907,L
14,14,python-dateutil-2.8.2,404,0.005547,0.233324,0.838665925,H
249,249,typing-extensions-4.5.0,267,0.004811,0.14449,0.658811077,M
1,1,matplotlib-3.7.1,655,0.004566,0.303955,0.396813469,L
35,35,urllib3-1.26.15,223,0.004022,0.151327,0.573668716,M
394,394,huaweicloudsdkcore-3.1.36,135,0.003919,0.0599,0.802215214,H
32,32,certifi-2022.12.7,142,0.003763,0.123986,0.607135444,M
11,11,packaging-23.1,273,0.00359,0.169708,0.593759389,M
97,97,protobuf-4.22.3,254,0.00359,0.13133,0.573668716,M
34,34,idna-3.4,41,0.003475,0.077516,0.638660348,M
152,152,cryptography-40.0.2,140,0.003152,0.07871,0.494391255,L
24,24,pytz-2023.3,200,0.003114,0.121442,0.786790187,H
228,228,lxml-4.9.2,291,0.003007,0.13769,0.266529022,L
156,156,pycparser-2.21,9,0.002986,0.00599,0.722789175,M
12,12,pillow-9.5.0,268,0.002966,0.143346,0.390081507,L
145,145,jinja2-3.1.2,268,0.002919,0.13594,0.573668716,M
157,157,pycparser-2.14,2,0.002916,0.00271,0.722789175,M
23,23,six-1.15.0,15,0.002812,0.017629,0.654854174,M
59,59,aiohttp-3.8.4,243,0.002798,0.1081,0.327320982,L
17,17,numpy-1.22.4,39,0.002753,0.085008,0.260893907,L
13,13,pyparsing-3.0.9,74,0.002492,0.05472,0.573270314,M
5,5,tqdm-4.65.0,393,0.002428,0.187177,0.619815336,M
176,176,beautifulsoup4-4.12.2,243,0.002249,0.11444,0.573668716,M
318,318,django-4.2,98,0.002142,0.04662,0.544936339,M
18,18,numpy-1.21.5,23,0.002079,0.069577,0.260893907,L
148,148,markupsafe-2.1.2,39,0.002057,0.02799,0.855779958,H
36,36,pysocks-1.7.1,13,0.001858,0.05515,0.751416082,H
129,129,future-0.18.3,154,0.001809,0.07324,0.573668716,M
611,611,google-api-core-2.11.0,198,0.001807,0.08988,0.720813266,M
55,55,colorama-0.4.6,166,0.001805,0.07894,0.608161838,M
139,139,flask-2.2.3,161,0.001773,0.07513,0.763313977,H
16,16,numpy-1.21.6,33,0.001736,0.064446,0.260893907,L
361,361,protobuf-3.20.3,62,0.001692,0.04311,0.573668716,M
33,33,charset-normalizer-3.1.0,11,0.001572,0.054054,0.753981657,H
41,41,idna-2.10,21,0.001561,0.05494,0.638660348,M
83,83,gym-0.26.2,114,0.00153,0.05042,0.659399277,M
275,275,scikit-learn-1.2.2,278,0.001508,0.12517,0.356249168,L
