Id,Label,Degree,Pageranks,Eigencentrality,FinalRiskScore,In_reach,Out_reach,Outgoing Risk (Inreach),Incoming Risk (Outreach)
9027,gw-mbank-0.2.0,12,3.50E-05,0,0.821318615,249,1,161.507147,0.821318615
8517,gradsflow-0.0.8.post1,9,3.50E-05,0,0.671641247,242,1,156.8068852,0.671641247
7485,gwxtreme-0.3.1,6,3.50E-05,0,0.666516038,233,1,151.0898029,0.666516038
6261,hesperos-0.1.42,10,3.50E-05,0,0.831320801,226,1,148.837981,0.831320801
11969,gobbli-0.2.4,8,3.50E-05,0,0.683755678,229,1,147.9244482,0.683755678
12302,abm-shape-collection-0.4.0,6,3.50E-05,0,0.82079874,220,1,143.0459444,0.82079874
8655,greenflowlab-1.0.5,3,3.50E-05,0,0.628538814,211,1,141.9796603,0.628538814
3823,graph-notebook-3.7.3,24,3.50E-05,0,0.633830019,214,1,141.3865815,0.633830019
12629,hugdatafast-1.0.0,3,3.50E-05,0,0.831673961,219,1,141.0313974,0.831673961
352,gym-recorder-0.0.3,6,3.50E-05,0,0.847647742,214,1,137.9822696,0.847647742
10891,hy-tools-1.5.0,7,3.50E-05,0,0.668297469,215,1,137.7484581,0.668297469
11653,hydroshare-jupyter-sync-0.1.10,4,3.50E-05,0,0.669521993,205,1,137.6473055,0.669521993
12914,great-ai-0.1.11,22,3.50E-05,0,0.699771614,211,1,137.508123,0.699771614
12117,gridx-prescient-2.2.2,9,3.50E-05,0,0.665999035,205,1,135.2858528,0.665999035
6263,napari-0.4.14,30,3.80E-05,0.00046,0.668339092,203,2,135.1834418,1.499659893
7598,abm-colony-collection-0.3.2,6,3.50E-05,0,0.820801946,207,1,134.8223195,0.820801946
356,ray-2.3.1,44,5.90E-05,0.00274,0.496479929,209,7,134.3337353,4.855656718
7134,hpc-inspect-0.1,5,3.50E-05,0,0.68414619,204,1,134.2418268,0.68414619
7502,hadar-dashboard-0.4.0,3,3.50E-05,0,0.711039015,202,1,133.1934593,0.711039015
10183,hsti-0.0.66,15,3.50E-05,0,0.709825656,204,1,133.0282283,0.709825656
13304,hellohyperas-1.0.0,6,3.50E-05,0,0.763834131,202,1,133.0260243,0.763834131
8324,hyperas-0.4.1,6,3.50E-05,0,0.763426927,202,1,133.0256171,0.763426927
6055,giveme5w1h-1.0.18,19,3.50E-05,0,0.804666233,204,1,133.0016101,0.804666233
9083,gpr4im-1.0.1,8,3.50E-05,0,0.700231213,201,1,131.7647948,0.700231213
10386,haiqv-streaming-dag-editor-1.0.0,1,3.50E-05,0,0.421207544,191,1,130.3401951,0.421207544
10387,apache-airflow-2.5.3,61,6.50E-05,0.00046,0.407805441,190,2,129.9189875,0.829012985
8570,glue-astronomy-0.7.0,6,3.50E-05,0,0.778361984,196,1,129.7894615,0.778361984
445,hardness-0.3,7,3.50E-05,0,0.831734309,196,1,129.1783831,0.831734309
8039,gordo-5.0.0,14,3.50E-05,0,0.620256264,198,1,128.5832869,0.620256264
446,argiope-0.3,7,3.90E-05,0.00046,0.812180835,195,2,128.3466488,1.643915144
12842,hyperspyui-1.2.0,13,3.50E-05,0,0.649899227,192,1,125.4391115,0.649899227
5151,hydroshare-on-jupyter-0.1.5,6,3.50E-05,0,0.669689883,184,1,123.4684149,0.669689883
4997,hagerstrand-0.0.11,13,3.50E-05,0,0.831673074,186,1,123.146842,0.831673074
9871,hive-kernel-0.4.1,4,3.50E-05,0,0.831731744,183,1,122.2632098,0.831731744
9879,harmonic-1.1.1,8,3.50E-05,0,0.667766632,185,1,121.1225718,0.667766632
9195,great-expectations-experimental-0.1.20230414008,1,3.50E-05,0,0.625580398,183,1,121.1119299,0.625580398
8113,glue-wwt-0.6.1,6,3.50E-05,0,0.794026179,184,1,120.7644839,0.794026179
3512,great-expectations-0.16.7,30,6.50E-05,0.00046,0.620973806,182,2,120.4863495,1.246554204
2000,hopsfacets-0.0.4,4,3.50E-05,0,0.760185876,179,1,120.136471,0.760185876
5607,hdijupyterutils-0.20.5,7,3.50E-05,0,0.625086798,178,1,119.7723657,0.625086798
8238,hebsafeharbor-0.1.1,4,3.50E-05,0,0.781241136,186,1,119.6308903,0.781241136
12630,fastai-2.7.12,16,4.50E-05,0.00046,0.584740797,188,2,119.6116107,1.416414758
4337,graphein-1.7.0,23,3.50E-05,0,0.759456187,184,1,118.7262522,0.759456187
9584,guang-0.0.8.1.6,14,3.50E-05,0,0.829853973,176,1,118.0326991,0.829853973
6772,hc-nlp-0.3.8,2,3.50E-05,0,0.699733452,183,1,117.6891729,0.699733452
1872,gmailapi-0.3.1,10,3.50E-05,0,0.831693969,173,1,117.3577001,0.831693969
6773,spacy-transformers-1.2.2,7,5.00E-05,0.00046,0.554498727,182,2,116.9894394,1.254232179
7599,prefect-2.82,39,4.50E-05,0.00091,0.680404503,172,3,116.5563331,2.322005189
6306,graph-ood-0.1.0,16,3.50E-05,0,0.812284798,180,1,116.493379,0.812284798
5164,hide-code-0.7.0,3,3.50E-05,0,0.812432939,171,1,116.4863605,0.812432939
7255,hdfviewer-0.11.0,6,3.50E-05,0,0.528311038,176,1,116.3660663,0.528311038
13528,htmlviewer-0.1.7,3,3.50E-05,0,0.968308811,170,1,115.8908954,0.968308811
5120,hnsc-classifier-1.0,8,3.50E-05,0,0.831923831,182,1,115.4387434,0.831923831
447,jupyter-1.0.0,31,0.000131,0.00779,0.671641247,169,18,114.9225866,13.28292337
11457,glue-geospatial-0.4,4,3.50E-05,0,0.836399364,175,1,114.9225811,0.836399364
4354,hebspacy-0.1.7,7,4.20E-05,0.00046,0.812220648,178,2,114.3817599,1.593461784
4232,hypercluster-0.1.13,11,3.50E-05,0,0.836234093,177,1,114.1612442,0.836234093
2530,glueviz-1.2.0,2,3.50E-05,0,0.728349146,174,1,113.9955126,0.728349146
11265,highiq-1.1,5,3.50E-05,0,0.831699824,173,1,113.929816,0.831699824
6709,hyperts-0.2.0,8,3.50E-05,0,0.657940907,177,1,113.7369854,0.657940907
9946,hyperspy-gui-ipywidgets-1.5.0,3,3.50E-05,0,0.65023274,175,1,113.2724261,0.65023274
1128,glue-vispy-viewers-1.0.7,10,5.00E-05,0.00046,0.795639327,173,2,113.2671635,1.523988473
4356,spacy-transformers-1.1.7,6,4.10E-05,0.00048,0.554498727,176,3,112.939817,2.147960511
13106,glare-5.0.1,40,3.50E-05,0,0.639109652,172,1,112.4888619,0.639109652
7451,haracat-1.0.0,1,3.50E-05,0,0.695213096,170,1,112.3659118,0.695213096
8867,globus-jupyterlab-1.0.0b10,4,3.50E-05,0,0.671641247,164,1,112.1459281,0.671641247
11634,hyperspy-gui-traitsui-1.5.2,4,3.70E-05,0.00046,0.653163569,173,2,112.0975815,1.303062796
6812,glue-plotly-0.4.0,2,3.50E-05,0,0.804953274,171,1,111.9987587,0.804953274
9720,hboard-widget-0.1.1,2,3.50E-05,0,0.663210026,174,1,111.6849682,0.663210026
7452,natas-1.2.0,6,6.50E-05,0.00046,0.675319092,169,2,111.6706987,1.370532188
10196,harpoon-0.1.7,38,3.50E-05,0,0.638135386,159,1,111.4390043,0.638135386
2253,hdfsbrowser-1.1.1,2,3.50E-05,0,0.642374905,163,1,111.4262586,0.642374905
2699,glue-medical-0.2,3,3.50E-05,0,0.710878306,170,1,111.336962,0.710878306
8950,glue-ginga-0.2,2,3.50E-05,0,0.691282058,170,1,111.277128,0.691282058
10893,accuracy-0.1.1,7,3.50E-05,0,0.711021285,169,1,111.0468141,0.711021285
12820,glue-samp-0.2,4,3.50E-05,0,0.847563067,169,1,110.7617677,0.847563067
6428,graphow-0.4,5,3.50E-05,0,0.831918692,172,1,110.7457681,0.831918692
8363,hdx-data-freshness-1.9.9,6,3.50E-05,0,0.673802581,162,1,110.3181247,0.673802581
7673,hyperspy-1.7.4,32,5.80E-05,0.00139,0.551412128,170,4,109.9455245,2.504707664
1129,glue-core-1.9.1,26,0.000119,0.00414,0.727689347,168,10,109.9142047,7.715142052
4999,geemap-0.20.5,17,3.70E-05,0.00046,0.742363633,164,2,109.76812,1.574036707
7520,guitarsounds-1.2.0,8,3.50E-05,0,0.695137356,168,1,109.476951,0.695137356
7198,hopsy-1.1.0,7,3.50E-05,0,0.673446237,168,1,109.0834787,0.673446237
10849,hdx-python-scraper-2.1.4,3,3.50E-05,0,0.69262964,157,1,108.2562514,0.69262964
11655,hypergbm-0.2.5.7,8,3.50E-05,0,0.646858051,168,1,107.9534191,0.646858051
9031,hyfive-0.1.7,13,3.50E-05,0,0.689350553,165,1,106.6667021,0.689350553
12684,goes16ci-0.1.3,8,3.50E-05,0,0.794551842,160,1,105.2233668,0.794551842
7190,harlow-0.1.0,16,3.50E-05,0,0.673830641,164,1,105.134733,0.673830641
8488,gquantlab-1.0.0,2,3.50E-05,0,0.465305762,154,1,105.0423628,0.465305762
4400,hnscraper-0.1.0,6,3.50E-05,0,0.799486143,154,1,105.0092409,0.799486143
5121,fastai-2.7.9,16,3.90E-05,0.00046,0.584740797,165,2,104.6615547,1.416664628
1079,hboard-0.1.1,2,3.50E-05,0,0.675603849,162,1,104.3252188,0.675603849
558,heyvi-0.2.25,8,3.80E-05,0.00048,0.847114664,163,2,104.201663,1.673691286
559,pycollector-0.4.6,11,4.00E-05,0.00048,0.826576622,163,2,104.201663,1.673691286
9038,gpar-0.3.1,8,3.50E-05,0,0.832894465,160,1,104.0228887,0.832894465
1080,hypernets-0.2.5.7,28,7.20E-05,0.00183,0.694481482,161,5,103.6496149,3.338094315
1536,gostrocks-0.0.2,14,3.50E-05,0,0.675652213,160,1,103.4019085,0.675652213
2118,highway-star-0.0.8.2,11,3.50E-05,0,0.836317039,158,1,103.325208,0.836317039
6942,hide-markdown-0.1.2,1,3.50E-05,0,0.695179727,151,1,103.2906164,0.695179727
11355,hbac-bias-detection-0.2.6,96,3.50E-05,0,0.710871464,162,1,103.2720931,0.710871464
5865,acdh-spacytei-0.1.2,8,3.50E-05,0,0.66811115,158,1,102.834612,0.66811115
2254,jupyterlab-3.6.3,22,0.000126,0.00366,0.566267465,150,9,102.5954367,5.666794984
11281,hoodat-vertex-components-1.6.4,3,3.50E-05,0,0.648875294,149,1,102.4869586,0.648875294
3737,google-cloud-pipeline-components-1.0.42,8,3.50E-05,0,0.633362505,149,1,102.4672165,0.633362505
7762,gmprocess-1.2.6,25,3.50E-05,0,0.56340683,157,1,102.0523307,0.56340683
11800,hfsync-0.0.2,2,3.50E-05,0,0.847637594,149,1,101.9473885,0.847637594
9132,abiflows-0.6,9,3.50E-05,0,0.668513243,156,1,101.8708739,0.668513243
642,graph-sd-0.1.4b0,5,3.50E-05,0,0.671641247,157,1,101.787602,0.671641247
12153,a3t-0.0.1,5,3.50E-05,0,0.710856827,156,1,101.7366713,0.710856827
10931,gprof-nn-0.1,9,3.50E-05,0,0.710936081,156,1,101.3109868,0.710936081
643,orange3-associate-1.2.0,4,4.10E-05,0.00046,0.661291134,156,2,101.1159607,1.332932381
644,orange3-3.34.1,30,4.60E-05,0.00048,0.671641247,155,3,100.4546696,2.004573628
6681,hail-0.2.113,34,3.50E-05,0,0.693669504,154,1,100.4273725,0.693669504
12078,gpm-qprof-0.0.1.dev0,5,3.50E-05,0,0.671641247,154,1,99.73391177,0.671641247
9889,gradiowrapper-0.0.7,1,3.50E-05,0,0.710978988,148,1,98.79686828,0.710978988
4935,here-map-widget-for-jupyter-1.1.3,3,3.50E-05,0,0.629487843,145,1,98.73580378,0.629487843
6442,gradio-3.27.0,27,6.50E-05,0.00046,0.54505163,147,2,98.0858893,1.256030618
6819,human-parsing-0.0.4,4,3.50E-05,0,0.847549587,157,1,97.93929976,0.847549587
6821,pietoolbelt-0.3.26,12,4.20E-05,0.00046,0.847114706,156,2,97.09175017,1.694664293
4937,ipywidgets-7.7.5,8,4.90E-05,0.00091,0.650128916,142,3,96.79543589,1.974754115
4875,gnuplot-kernel-0.4.1,2,3.50E-05,0,0.79892703,141,1,96.2303679,0.79892703
1366,accessibility-toolbar-1.0.35,1,3.50E-05,0,0.839613866,140,1,95.65342945,0.839613866
2486,hybridcontents-0.3.0,2,3.50E-05,0,0.774550557,140,1,95.58836614,0.774550557
4938,widgetsnbextension-3.6.4,2,4.20E-05,0.0005,0.671641247,140,4,95.48545683,2.646395362
10126,abtest-0.0.7,15,3.50E-05,0,0.848503102,141,1,95.41500212,0.848503102
9252,acdh-spacyal-0.3.6,10,3.50E-05,0,0.695791445,145,1,95.41450535,0.695791445
5307,aceth-0.0.13,10,3.50E-05,0,0.69518498,150,1,95.3887896,0.69518498
5228,hipsnp-0.0.2,4,3.50E-05,0,0.699999631,143,1,95.18435019,0.699999631
3653,harmonization-0.0.9,11,3.50E-05,0,0.812214086,148,1,94.99602013,0.812214086
13356,high-vision-0.1,15,3.50E-05,0,0.711019324,148,1,94.94569903,0.711019324
12584,grr-response-test-3.4.6.post7,9,3.50E-05,0,0.671641247,137,1,94.88244929,0.671641247
452,notebook-6.5.4,38,0.000181,0.00654,0.671641247,139,37,94.81381558,25.92740062
9774,google-pso-data-validator-3.0.0,26,3.50E-05,0,0.753042094,137,1,94.56875861,0.753042094
11801,file-io-0.4.5,11,5.00E-05,0.00046,0.81929565,135,2,94.34423521,1.666933244
8728,histomics-stream-2.3.3,8,3.50E-05,0,0.690857474,147,1,93.89936253,0.690857474
12239,grasptext-0.0.2,8,3.50E-05,0,0.83664315,145,1,93.71842002,0.83664315
3740,kfp-1.8.20,24,4.90E-05,0.00091,0.508586883,136,3,93.70214233,1.790824682
1612,hdx-scraper-geonode-1.4.7,2,3.50E-05,0,0.682350535,136,1,93.58655593,0.682350535
10524,hcat-0.2.26,22,3.50E-05,0,0.846922115,147,1,93.46388831,0.846922115
4613,gridcal-4.6.6,25,3.50E-05,0,0.791852039,146,1,93.1203953,0.791852039
9322,gspy-0.1.1,11,3.50E-05,0,0.836641052,143,1,93.10675722,0.836641052
1613,hdx-python-api-6.0.0,12,6.50E-05,0.00137,0.640870755,135,4,92.90420539,2.689653511
7225,graphscope-0.20.0,4,3.50E-05,0,0.728613652,142,1,92.88342469,0.728613652
6568,hilda-0.1.1,10,3.50E-05,0,0.684189618,131,1,92.58847829,0.684189618
8050,gradle-profiler-pttest-0.0.4,3,3.50E-05,0,0.820192509,144,1,92.31841143,0.820192509
11200,gpcm-0.2.0,13,3.50E-05,0,0.820890056,142,1,92.23749332,0.820890056
3764,gp-maps-python-0.0.3,8,3.50E-05,0,0.691425395,145,1,92.22314116,0.691425395
13489,hyperio-0.1.6,3,3.50E-05,0,0.76177874,142,1,92.22181057,0.76177874
6198,grid2viz-1.4.1.post1,15,3.50E-05,0,0.671641247,142,1,91.88634439,0.671641247
5726,google-api-wrapper2-1.0.5,6,3.50E-05,0,0.720101065,134,1,91.85091655,0.720101065
13490,astetik-1.13,10,4.50E-05,0.00046,0.956653525,141,2,91.46003182,1.718432265
5202,iago-0.2.8,5,3.50E-05,0,0.831594359,135,1,91.43650562,0.831594359
11666,harlogger-2.1.2,3,3.50E-05,0,0.710981997,129,1,91.31015725,0.710981997
8909,hgdl-2.0.6,12,3.50E-05,0,0.66176097,139,1,90.6391527,0.66176097
6571,pymobiledevice3-1.40.0,34,4.80E-05,0.00091,0.76006606,128,3,90.59917525,2.155237675
7227,gs-coordinator-0.20.0,14,4.20E-05,0.00046,0.731404908,138,2,89.96026026,1.46001856
8245,gumbi-0.1.17,8,3.50E-05,0,0.696886266,139,1,89.59637908,0.696886266
11201,probmods-0.4.1,6,3.70E-05,0.00046,0.832583003,138,2,89.51889701,1.653473059
3749,highlights-0.1.1,5,3.50E-05,0,0.695407681,139,1,89.42536166,0.695407681
3775,grizli-1.8.3,19,3.50E-05,0,0.786060811,139,1,89.01381093,0.786060811
10661,hydromass-0.4,6,3.50E-05,0,0.711015321,138,1,88.97741843,0.711015321
1574,grizzly-loadtester-2.6.2,19,3.50E-05,0,0.682731257,129,1,88.94422051,0.682731257
9042,stheno-1.4.1,11,4.50E-05,0.00149,0.746395557,137,8,88.68631401,6.40584436
9044,wbml-0.4.1,20,6.50E-05,0.00258,0.757705342,137,8,88.68631401,6.40584436
9039,backends-matrix-1.3.0,11,6.30E-05,0.003,0.835506477,137,8,88.68631401,6.40584436
9043,varz-0.8.1,9,5.10E-05,0.00197,0.746914696,137,8,88.68631401,6.40584436
9047,mlkernels-0.4.0,7,4.20E-05,0.00098,0.832954764,137,8,88.68631401,6.40584436
12970,google-cloud-mlflow-0.0.6,4,3.50E-05,0,0.694939907,134,1,88.67077551,0.694939907
8657,gym-idsgame-1.0.13,14,3.50E-05,0,0.820398435,138,1,88.54750836,0.820398435
4234,snakemake-7.25.0,23,3.80E-05,0.00046,0.562160357,130,2,88.5391308,1.39839445
7231,graphscope-client-0.20.0,23,3.80E-05,0.00048,0.729116739,136,3,88.52693352,2.189135299
10662,pyproffit-0.7.1,7,4.00E-05,0.00046,0.68327746,137,2,88.26640311,1.394292781
6704,grammar-detector-0.2.4,5,3.50E-05,0,0.695217361,132,1,88.05092704,0.695217361
7106,graspologic-3.0.0,15,3.50E-05,0,0.619766333,141,1,88.04777687,0.619766333
10455,gx-tool-db-0.4.0,11,3.50E-05,0,0.820704792,128,1,87.47154404,0.820704792
3711,googleapis-artman-2.4.4,21,3.50E-05,0,0.764424954,125,1,87.41372971,0.764424954
13551,hugin-0.2.2,14,3.50E-05,0,0.805597166,136,1,86.71948804,0.805597166
11994,hearvalidator-2021.0.2,2,3.50E-05,0,0.66848311,134,1,86.40668485,0.66848311
11156,gumo-dev-server-0.3.2,5,3.50E-05,0,0.835750899,120,1,86.37602705,0.835750899
10137,grtoolkit-20.11.4,13,3.50E-05,0,0.842622412,133,1,86.17310223,0.842622412
4737,holmes-extractor-4.2.0,3,3.50E-05,0,0.694674601,129,1,86.09603914,0.694674601
2750,grr-response-server-3.4.6.post7,17,3.80E-05,0.00046,0.671641247,123,2,86.07556808,1.343282494
8247,pymc3-3.11.5,15,4.90E-05,0.00139,0.776050493,133,4,85.86613587,2.86722954
5454,hyddown-0.16.2,10,3.50E-05,0,0.827810131,131,1,85.76236493,0.827810131
5552,helena-eth-events-3.1.9,10,3.50E-05,0,0.668426134,126,1,85.7375986,0.668426134
6402,gramps-webapi-0.6.1,21,3.50E-05,0,0.651023153,128,1,85.70905426,0.651023153
6068,hackergprat-0.3.4,16,3.50E-05,0,0.711002371,135,1,85.63934609,0.711002371
8183,gpsconverter-0.0.17,13,3.50E-05,0,0.820750042,131,1,85.54225049,0.820750042
11821,gr-freddy-3.0.28.dev0,21,3.50E-05,0,0.671641247,129,1,85.29645892,0.671641247
3765,pingouin-0.5.3,11,3.90E-05,0.00046,0.74656162,134,2,85.03796838,1.437987015
8051,pingouin-0.3.8,11,4.50E-05,0.00046,0.74656162,134,2,85.03796838,1.566754129
2863,granary-6.0,12,3.50E-05,0,0.631393673,121,1,84.59895599,0.631393673
9268,grape-0.1.30,5,3.50E-05,0,0.65936617,130,1,84.51957433,0.65936617
9554,academic-tracker-1.0.3,12,3.50E-05,0,0.821319458,122,1,84.37181226,0.821319458
10406,grammaregex-0.1.3,1,3.50E-05,0,0.821216565,126,1,84.28247078,0.821216565
1381,hearstpatterns-0.1.3,1,3.50E-05,0,0.79060492,126,1,84.25185914,0.79060492
6118,google-ads-api-report-fetcher-1.2.1,8,3.50E-05,0,0.813551688,129,1,84.23588272,0.813551688
10238,absolang-0.0.2,1,3.50E-05,0,0.695415433,126,1,84.15666965,0.695415433
4738,coreferee-1.4.0,2,4.50E-05,0.00046,0.683909839,126,2,84.14516405,1.37858444
5203,golog-0.6.2,10,4.10E-05,0.00046,0.831211053,122,2,84.018897,1.662805412
9271,embiggen-0.11.45,18,4.10E-05,0.00046,0.64897064,129,2,83.86020816,1.30833681
7073,hotaru-4.0.1,8,3.50E-05,0,0.82022881,132,1,83.47181574,0.82022881
1382,spacy-3.5.2,40,0.000246,0.0088,0.474787772,125,23,83.46125422,16.39354692
7706,hyoga-0.3.0,7,3.50E-05,0,0.70698299,129,1,83.21539847,0.70698299
6237,holoext-1.0.4,6,3.50E-05,0,0.831539101,126,1,83.19445777,0.831539101
11266,act-atmos-1.4.3,19,4.10E-05,0.00046,0.777394033,128,2,83.03399256,1.609093857
5681,harvesttext-0.8.1.8,15,3.50E-05,0,0.80330714,133,1,83.01186926,0.80330714
12929,a2rl-1.1.1,16,3.50E-05,0,0.657926427,131,1,82.88154896,0.657926427
6429,karateclub-1.2.3,13,4.10E-05,0.00046,0.783502866,133,2,82.86394623,1.615421558
