,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category
0,0,gromacs-py-2.0.3,5,3.50E-05,0,69,6.108524457,1,3.5,0.68386668,H,T,T
1,1,matplotlib-3.7.1,655,0.004566,0.303955,28,4.807354922,1064,13.55528244,0.396813469,L,T,D
2,2,os-command-py-1.1.0,2,5.00E-05,0.000936,1,0,3,5.084962501,0.84753316,H,T,T
3,3,pandas-2.0.0,849,0.006316,0.40139,11,3.459431619,1329,13.87612539,0.820746042,H,D,D
4,4,pdb-manip-py-1.4.2,5,4.10E-05,0.000457,41,5.357552005,2,4.5,0.835887941,H,T,T
5,5,tqdm-4.65.0,393,0.002428,0.187177,1,0,648,12.83985,0.619815336,H,T,D
6,6,contourpy-1.0.7,9,0.000294,0.016168,7,2.807354922,1119,13.62799432,0.805287543,H,T,D
7,7,cycler-0.11.0,12,0.000319,0.020275,1,0,1078,13.57414146,0.759591482,H,T,D
8,8,fonttools-4.39.3,29,0.000665,0.026256,9,3.169925001,1098,13.60066234,0.547940771,H,T,D
9,9,kiwisolver-1.4.4,14,0.000342,0.021345,1,0,1086,13.58480839,0.595092828,H,T,D
10,10,numpy-1.24.2,1927,0.024948,1,1,0,2898,15.00084188,0.260893907,L,D,D
11,11,packaging-23.1,273,0.00359,0.169708,1,0,2114,14.54575966,0.593759389,H,T,D
12,12,pillow-9.5.0,268,0.002966,0.143346,1,0,1383,13.93358544,0.390081507,L,T,D
13,13,pyparsing-3.0.9,74,0.002492,0.05472,1,0,1832,14.33920379,0.573270314,H,T,D
14,14,python-dateutil-2.8.2,404,0.005547,0.233324,3,1.584962501,2759,14.92992974,0.838665925,H,D,D
15,15,numpy-1.23.5,219,0.005681,0.190205,1,0,2307,14.67180229,0.260893907,L,D,D
16,16,numpy-1.21.6,33,0.001736,0.064446,1,0,1747,14.27066389,0.260893907,L,T,D
17,17,numpy-1.22.4,39,0.002753,0.085008,1,0,2161,14.57748336,0.260893907,L,T,D
18,18,numpy-1.21.5,23,0.002079,0.069577,1,0,2016,14.47727992,0.260893907,L,T,D
19,19,pillow-8.4.0,13,0.000406,0.02144,1,0,1094,13.59539702,0.390081507,L,T,D
20,20,packaging-21.3,32,0.00089,0.035557,4,2,1400,13.95121111,0.593759389,H,T,D
21,21,numpy-1.22.1,20,0.001408,0.050323,1,0,1692,14.22451385,0.260893907,L,T,D
22,22,six-1.16.0,893,0.020897,0.460884,1,0,4897,15.75768248,0.758409361,H,D,D
23,23,six-1.15.0,15,0.002812,0.017629,1,0,2816,14.95943162,0.758409361,H,T,D
24,24,pytz-2023.3,200,0.003114,0.121442,1,0,1889,14.38340699,0.786790187,H,T,D
25,25,tzdata-2023.3,5,0.000998,0.021274,1,0,1436,13.98784003,0.744991043,H,T,D
26,26,pdb2pqr-3.5.2,6,4.40E-05,0.000479,32,5,3,5.084962501,0.764545825,H,T,T
27,27,scipy-1.10.1,819,0.006276,0.396154,8,3,1365,13.91468524,0.337577653,L,D,D
28,28,docutils-0.17.1,8,8.60E-05,0.003857,1,0,20,7.821928095,0.671641247,H,T,T
29,29,mmcif-pdbx-2.0.1,2,4.70E-05,0.000937,1,0,5,5.821928095,0.95736333,H,T,T
30,30,propka-3.5.0,1,4.20E-05,0.00048,1,0,4,5.5,0.671641247,H,T,T
31,31,requests-2.28.2,1915,0.025964,0.906595,27,4.754887502,3431,15.24441341,0.515598341,H,D,D
32,32,certifi-2022.12.7,142,0.003763,0.123986,1,0,4025,15.47477307,0.607135444,H,T,D
33,33,charset-normalizer-3.1.0,11,0.001572,0.054054,1,0,3638,15.32892983,0.753981657,H,T,D
34,34,idna-3.4,41,0.003475,0.077516,1,0,4456,15.62153352,0.638660348,H,T,D
35,35,urllib3-1.26.15,223,0.004022,0.151327,12,3.584962501,3783,15.38531506,0.564677815,H,T,D
36,36,pysocks-1.7.1,13,0.001858,0.05515,1,0,3785,15.38607758,0.831900379,H,T,D
37,37,charset-normalizer-2.1.1,6,0.001292,0.04602,1,0,3457,15.25530489,0.753981657,H,T,D
38,38,urllib3-1.26.7,6,0.001361,0.04663,1,0,3476,15.26321237,0.564677815,H,T,D
39,39,certifi-2018.4.16,2,0.001266,0.04363,1,0,3432,15.24483384,0.607135444,H,T,D
40,40,idna-2.7,6,0.001408,0.04666,1,0,3702,15.35408918,0.638660348,H,T,D
41,41,idna-2.10,21,0.001561,0.05494,1,0,3786,15.3864587,0.638660348,H,T,D
42,42,urllib3-1.25.8,2,0.001264,0.04363,1,0,3432,15.24483384,0.564677815,H,T,D
43,43,charset-normalizer-3.0.1,4,0.001264,0.04456,1,0,3432,15.24483384,0.753981657,H,T,D
44,44,urllib3-1.26.14,5,0.001295,0.04507,1,0,3433,15.24525414,0.564677815,H,T,D
45,45,urllib3-1.24.2,2,0.001267,0.04363,1,0,3432,15.24483384,0.564677815,H,T,D
46,46,certifi-2020.12.5,11,0.001351,0.0485,1,0,3463,15.25780667,0.607135444,H,T,D
47,47,certifi-2018.11.29,6,0.001362,0.04621,1,0,3459,15.2561393,0.607135444,H,T,D
48,48,certifi-2021.10.8,8,0.00138,0.04752,1,0,3474,15.26238204,0.607135444,H,T,D
49,49,urllib3-1.25.11,11,0.001455,0.04901,1,0,3548,15.29279029,0.564677815,H,T,D
50,50,numpy-1.22.2,6,0.000871,0.02258,1,0,1397,13.94811631,0.260893907,L,T,D
51,51,numpy-1.22.3,21,0.001149,0.03666,1,0,1423,13.97471995,0.260893907,L,T,D
52,52,goedwig-0.2.0,1,3.50E-05,0,7,2.807354922,1,3.5,0.831759884,H,T,T
53,53,icecream-2.1.3,5,6.50E-05,0.00046,6,2.584962501,2,4.5,0.760474772,H,T,T
54,54,asttokens-2.2.1,9,0.000169,0.00403,2,1,208,11.20043972,0.775663731,H,T,D
55,55,colorama-0.4.6,166,0.001805,0.07894,1,0,345,11.93045255,0.608161838,H,T,D
56,56,executing-1.2.0,7,0.000175,0.00348,1,0,203,11.16533592,0.646274343,H,T,D
57,57,pygments-2.15.0,117,0.001492,0.06241,1,0,707,12.9655664,0.627188997,H,T,D
58,58,hubitatmaker-0.6.1,2,3.50E-05,0,27,4.754887502,1,3.5,0.656422164,H,T,T
59,59,aiohttp-3.8.4,243,0.002798,0.1081,25,4.64385619,501,12.46866679,0.327320982,L,T,D
60,60,getmac-0.9.3,2,6.50E-05,0.00091,1,0,3,5.084962501,0.671641247,H,T,T
61,61,aiosignal-1.3.1,6,0.000205,0.00777,2,1,518,12.51680829,0.648895329,H,T,D
62,62,async-timeout-4.0.2,31,0.000926,0.02149,1,0,618,12.77146303,0.758138026,H,T,D
63,63,attrs-23.1.0,90,0.001288,0.05565,1,0,1243,13.77961058,0.827546126,H,T,D
64,64,frozenlist-1.3.3,8,0.00041,0.00938,1,0,520,12.52236781,0.69515444,H,T,D
65,65,multidict-6.0.4,25,0.000773,0.0209,1,0,666,12.87937837,0.609892488,H,T,D
66,66,yarl-1.8.2,44,0.000646,0.02443,7,2.807354922,582,12.68487534,0.580524187,H,T,D
67,67,aiodns-3.0.0,9,0.000227,0.00892,5,2.321928095,512,12.5,0.75576147,H,T,D
68,68,brotli-1.0.9,19,0.000415,0.01508,1,0,1545,14.09339112,0.568848542,H,T,D
69,69,attrs-22.2.0,93,0.001203,0.05659,1,0,1176,13.69967234,0.827546126,H,T,D
70,70,attrs-19.1.0,6,0.000214,0.00791,1,0,506,12.48299357,0.827546126,H,T,D
71,71,yarl-1.8.1,7,0.000198,0.00764,3,1.584962501,514,12.50562455,0.580524187,H,T,D
72,72,attrs-20.3.0,6,0.000206,0.00789,1,0,506,12.48299357,0.827546126,H,T,D
73,73,attrs-21.4.0,31,0.000556,0.02317,1,0,889,13.29603961,0.827546126,H,T,D
74,74,yarl-1.1.1,4,0.000189,0.00602,3,1.584962501,502,12.47154355,0.580524187,H,T,D
75,75,multidict-5.2.0,6,0.00031,0.00912,1,0,586,12.69475685,0.609892488,H,T,D
76,76,multidict-4.7.6,8,0.000211,0.00497,1,0,589,12.70212382,0.609892488,H,T,D
77,77,humble-0.1.2,3,3.50E-05,0,36,5.169925001,1,3.5,0.695344659,H,T,T
78,78,clint-0.5.1,8,9.70E-05,0.00324,2,1,10,6.821928095,0.597938569,H,T,T
79,79,github2-0.6.2,3,4.50E-05,0.00046,6,2.584962501,2,4.5,0.671641247,H,T,T
80,80,args-0.1.0,2,0.000118,0.00107,1,0,11,6.959431619,0.642257113,H,T,T
81,81,httplib2-0.22.0,61,0.000772,0.03305,2,1,216,11.2548875,0.724571015,H,T,D
82,82,gym-armed-bandits-0.0.1,2,3.50E-05,0,6,2.584962501,1,3.5,0.847724914,H,T,T
83,83,gym-0.26.2,114,0.00153,0.05042,5,2.321928095,116,10.357981,0.678585024,H,T,D
84,84,cloudpickle-2.2.1,44,0.000731,0.02472,1,0,320,11.82192809,0.729166061,H,T,D
85,85,gym-notices-0.0.8,4,0.00041,0.00439,1,0,126,10.47727992,0.684347051,H,T,D
86,86,hashchain-1.0.0,2,3.50E-05,0,96,6.584962501,1,3.5,0.697269965,H,T,T
87,87,pysha3-1.0.2,7,9.80E-05,0.00335,1,0,14,7.307354922,0.800161212,H,T,T
88,88,web3-6.2.0,21,8.00E-05,0.00277,94,6.554588852,7,6.307354922,0.571463285,H,T,T
89,89,eth-abi-4.0.0,10,6.60E-05,0.00299,13,3.700439718,11,6.959431619,0.622011937,H,T,T
90,90,eth-account-0.8.0,11,5.10E-05,0.00153,20,4.321928095,10,6.821928095,0.614968324,H,T,T
91,91,eth-hash-0.5.1,11,0.000197,0.0049,3,1.584962501,55,9.281359714,0.627676632,H,T,D
92,92,eth-typing-3.3.0,9,0.000186,0.00503,1,0,26,8.200439718,0.631392849,H,T,T
93,93,eth-utils-2.1.0,18,0.000222,0.00777,7,2.807354922,24,8.084962501,0.612692148,H,T,T
94,94,hexbytes-0.3.0,18,0.000126,0.00899,1,0,36,8.669925001,0.778165779,H,T,D
95,95,jsonschema-4.17.3,118,0.0008,0.05165,18,4.169925001,332,11.87503943,0.566904786,H,T,D
96,96,lru-dict-1.1.8,18,0.000101,0.00907,1,0,54,9.254887502,0.641359104,H,T,D
