,Id,Label,Degree,Pageranks,Eigencentrality,Reachability,Log2_reach,R_Reachability,R_Log2_reach,RiskScore,Category,PR_Category,R_Category,R_Lo10_reach
22,22,six-1.16.0,893,0.020897,0.460884,1,0,4897,15.75768248,0.758409361,H,D,D,48.97
34,34,idna-3.4,41,0.003475,0.077516,1,0,4456,15.62153352,0.638660348,H,T,D,44.56
156,156,pycparser-2.21,9,0.002986,0.00599,1,0,4399,15.60295989,0.722789175,H,T,D,43.99
157,157,pycparser-2.14,2,0.002916,0.00271,1,0,4398,15.60263189,0.722789175,H,T,D,43.98
155,155,cffi-1.15.1,74,0.00673,0.04071,3,1.584962501,4397,15.60230382,0.671641247,H,D,D,43.97
152,152,cryptography-40.0.2,140,0.003152,0.07871,4,2,4058,15.48655315,0.847395434,H,T,D,40.58
32,32,certifi-2022.12.7,142,0.003763,0.123986,1,0,4025,15.47477307,0.607135444,H,T,D,40.25
153,153,cryptography-40.0.1,24,0.001326,0.02165,4,2,3954,15.44909716,0.847395434,H,T,D,39.54
154,154,cryptography-39.0.2,4,0.000292,0.00262,4,2,3836,15.40538701,0.847395434,H,T,D,38.36
142,142,pyopenssl-23.1.1,51,0.000872,0.02963,7,2.807354922,3835,15.40501086,0.687555257,H,T,D,38.35
41,41,idna-2.10,21,0.001561,0.05494,1,0,3786,15.3864587,0.638660348,H,T,D,37.86
36,36,pysocks-1.7.1,13,0.001858,0.05515,1,0,3785,15.38607758,0.831900379,H,T,D,37.85
1570,1570,urllib3-secure-extra-0.1.0,1,0.000523,0.00646,1,0,3784,15.38569637,0.758440731,H,T,D,37.84
35,35,urllib3-1.26.15,223,0.004022,0.151327,12,3.584962501,3783,15.38531506,0.564677815,H,T,D,37.83
40,40,idna-2.7,6,0.001408,0.04666,1,0,3702,15.35408918,0.638660348,H,T,D,37.02
33,33,charset-normalizer-3.1.0,11,0.001572,0.054054,1,0,3638,15.32892983,0.753981657,H,T,D,36.38
49,49,urllib3-1.25.11,11,0.001455,0.04901,1,0,3548,15.29279029,0.564677815,H,T,D,35.48
38,38,urllib3-1.26.7,6,0.001361,0.04663,1,0,3476,15.26321237,0.564677815,H,T,D,34.76
48,48,certifi-2021.10.8,8,0.00138,0.04752,1,0,3474,15.26238204,0.607135444,H,T,D,34.74
46,46,certifi-2020.12.5,11,0.001351,0.0485,1,0,3463,15.25780667,0.607135444,H,T,D,34.63
47,47,certifi-2018.11.29,6,0.001362,0.04621,1,0,3459,15.2561393,0.607135444,H,T,D,34.59
37,37,charset-normalizer-2.1.1,6,0.001292,0.04602,1,0,3457,15.25530489,0.753981657,H,T,D,34.57
44,44,urllib3-1.26.14,5,0.001295,0.04507,1,0,3433,15.24525414,0.564677815,H,T,D,34.33
39,39,certifi-2018.4.16,2,0.001266,0.04363,1,0,3432,15.24483384,0.607135444,H,T,D,34.32
42,42,urllib3-1.25.8,2,0.001264,0.04363,1,0,3432,15.24483384,0.564677815,H,T,D,34.32
43,43,charset-normalizer-3.0.1,4,0.001264,0.04456,1,0,3432,15.24483384,0.753981657,H,T,D,34.32
45,45,urllib3-1.24.2,2,0.001267,0.04363,1,0,3432,15.24483384,0.564677815,H,T,D,34.32
31,31,requests-2.28.2,1915,0.025964,0.906595,27,4.754887502,3431,15.24441341,0.515598341,H,D,D,34.31
10,10,numpy-1.24.2,1927,0.024948,1,1,0,2898,15.00084188,0.260893907,L,D,D,28.98
23,23,six-1.15.0,15,0.002812,0.017629,1,0,2816,14.95943162,0.758409361,H,T,D,28.16
14,14,python-dateutil-2.8.2,404,0.005547,0.233324,3,1.584962501,2759,14.92992974,0.838665925,H,D,D,27.59
219,219,setuptools-67.6.1,435,0.008323,0.22734,1,0,2391,14.72339841,0.400968822,L,D,D,23.91
15,15,numpy-1.23.5,219,0.005681,0.190205,1,0,2307,14.67180229,0.260893907,L,D,D,23.07
17,17,numpy-1.22.4,39,0.002753,0.085008,1,0,2161,14.57748336,0.260893907,L,T,D,21.61
11,11,packaging-23.1,273,0.00359,0.169708,1,0,2114,14.54575966,0.593759389,H,T,D,21.14
18,18,numpy-1.21.5,23,0.002079,0.069577,1,0,2016,14.47727992,0.260893907,L,T,D,20.16
24,24,pytz-2023.3,200,0.003114,0.121442,1,0,1889,14.38340699,0.786790187,H,T,D,18.89
