,Node,Degree,Pageranks,EigenCentrality,Reach
1,1,54,0.000720901258717839,-9.658309912641944e-17,8
1002,1002,12,0.0019705729352549454,-1.322012540169177e-16,2
2,2,63,0.0012334233398450442,-1.2078233734665529e-16,6
523,523,5,0.0002868885789245787,-4.208627173200311e-17,4
1001,1001,3,0.002199135522307948,-2.3489421827841516e-17,1
3,3,9,0.0001419039388410232,-1.3826679855778283e-18,520
593,593,32,0.00014811168234116052,4.857491205053534e-19,477
910,910,37,0.0008495233643818354,1.0471896545620588e-16,19
1003,1003,6,0.00015684373565085405,5.677306129571615e-18,13
76,76,13,0.00013776904631718052,-9.762954070462668e-19,519
1004,1004,10,0.00015852832012337495,2.732630562644747e-17,130
650,650,29,0.00011025691335234713,5.620498010175853e-18,282
591,591,13,0.0001786671113500804,4.1699041630633835e-17,132
649,649,23,0.00015365532433890013,2.799625975690598e-17,247
0,0,93,0.006022246789729661,7.218581857673686e-17,1
1005,1005,10,0.00033167526720958283,6.406224047456674e-18,2
23,23,122,0.0037464013675125927,0.22804271816427496,10
771,771,12,0.0003732912044846638,6.8556997767691476e-18,1
1006,1006,9,0.0002541533078881047,1.639424306088801e-17,1
409,409,48,0.0016228506279394844,0.0011672644367995307,1
715,715,5,0.00011025691335234713,6.228111738864504e-18,54
293,293,26,0.00012059954937632713,8.027791520593293e-18,461
195,195,21,0.00017615675678019297,3.9726949469087645e-17,136
909,909,19,0.00023631955877213655,3.508392393867517e-17,127
520,520,7,0.0001907049004414753,4.099426409571284e-17,1
107,107,16,0.00013045928810738458,2.9670952947445127e-17,152
592,592,4,0.00011025691335234713,5.821033042933222e-18,278
651,651,25,0.0001147809145515811,1.5600644306907266e-17,438
785,785,28,0.000144367515944809,2.205578060806982e-17,318
911,911,31,0.0003178012085707828,1.6380601089464e-17,277
473,473,29,0.0004954853785970567,6.864608268024486e-17,23
714,714,10,0.00013687252466801882,2.4381783972450958e-17,25
850,850,11,0.00013107330523760494,1.321472033829316e-17,138
464,464,49,0.0005935009360366021,0.017403213698676458,97
348,348,20,0.000526846509527705,3.8856380170964157e-17,8
1007,1007,22,0.0003321699828349204,6.742059471526889e-17,1
467,467,35,0.0017065986894657715,0.1656227955935722,2
1008,1008,3,0.0003515371363710991,5.007816798433113e-17,2
816,816,4,0.0005817726685363628,7.177495698256035e-17,1
1009,1009,2,0.0002330880400767816,4.026573357075118e-17,3
80,80,2,0.0002330880400767816,5.016013631612859e-17,2
1010,1010,5,0.0002610529835127764,9.87031816492106e-18,10
1011,1011,4,0.0001810233212601049,3.946330952814799e-18,2
748,748,10,0.00016542193849969822,-1.4834413653684024e-17,3
238,238,47,0.0004430641093254908,8.541747985053953e-18,116
1012,1012,1,0.00010935557090566707,5.158002858316723e-18,1
1013,1013,16,0.0008190020467676734,1.2124402714109118e-16,3
1014,1014,3,0.00015524180796799803,2.5810466709869263e-17,1
47,47,75,0.0022753063824688504,0.015068684825077536,42
1015,1015,7,0.0002673714077695823,-6.209438763572212e-18,1
1016,1016,9,0.00015227518217304212,2.613424213129671e-18,62
1017,1017,7,0.00018675693830458542,2.0183696683306373e-18,10
1018,1018,6,0.00012876494749380291,2.299395970668125e-18,12
1019,1019,5,0.00012876494749380291,1.9349567708274694e-18,12
505,505,11,0.00020393574775509664,-6.126379286557969e-19,25
1020,1020,5,0.00014043559849474487,1.332066950497685e-17,4
1021,1021,5,0.00010935557090566707,4.4523781575368126e-18,14
13,13,161,0.0048740878860827055,4.01717823247545e-16,59
690,690,8,0.00013053224278211162,1.0913155052403403e-17,115
1022,1022,16,0.0005850278803119862,0.00171392348969719,1
1023,1023,8,0.0004259603641479533,-6.162213662205966e-17,1
1024,1024,4,0.00016520544756508666,-6.495318048762838e-19,1
772,772,15,0.00023153145191250643,-1.0219220422226025e-17,6
434,434,23,0.0019759426157291613,-1.2833138381928856e-17,1
902,902,8,0.0010889186571953655,0.0635596397469969,3
774,774,17,0.0015773286364490144,0.06346922002681338,2
228,228,38,0.0009819446232032134,-9.047367100826866e-18,30
701,701,9,0.0004440063326118414,-1.278931912332395e-18,3
1025,1025,6,0.00011033392748991875,6.596852169311889e-18,319
7,7,12,0.00013137545620023873,9.418689230188285e-18,267
542,542,10,0.000263385664425246,-1.400827684178734e-17,1
851,851,23,0.00011033392748991875,8.634247464189977e-18,325
173,173,8,0.00011482752956802057,1.539259731897658e-17,136
470,470,9,0.0004919772622245204,2.4905627000266054e-17,1
1026,1026,11,0.00022404752866767223,6.100073133086037e-18,21
610,610,11,0.00026727845084913393,-3.714974621919468e-17,1
1027,1027,2,0.00011801397679352378,1.142145569115532e-17,2
1028,1028,8,0.00018812029019421957,0.004193940856241645,98
1029,1029,4,0.00013661181562438723,1.7086436206844675e-17,3
338,338,7,0.00027863223295901255,0.004193940856241632,4
1030,1030,3,0.00012911263885719302,1.56354702450456e-17,3
95,95,20,0.0009069159222001102,2.319890827505726e-16,14
1031,1031,1,0.00012938006551310014,1.3547658565499912e-17,1
1032,1032,4,0.00013611217117821654,1.7070158053684206e-17,2
1033,1033,1,0.00011755890038314254,8.241176438037375e-18,1
167,167,45,0.0011510409871995082,0.006158067976114814,6
1034,1034,1,0.00011755890038314254,6.546991588737893e-18,1
506,506,11,0.0001787366555553276,2.2289867276532805e-17,135
1035,1035,4,0.00013172362284399728,1.8774349232102063e-17,1
849,849,2,0.00011030352836878662,6.419070183404031e-18,2
472,472,3,0.00011030352836878662,6.74588920866627e-18,10
601,601,10,0.0003416652955849423,1.8477537991361696e-17,10
1036,1036,10,0.0001846838664769641,-2.6986722850293324e-19,134
1037,1037,6,0.00011146400327507208,6.607558812499107e-18,285
1038,1038,6,0.00011669332920858669,8.755542335502135e-18,14
1039,1039,1,0.00011146400327507208,5.9012061870535015e-18,1
471,471,9,0.00023248807575322313,-3.9765024561357544e-18,24
1040,1040,7,0.00047066892958865295,1.0257211516979993e-17,2
1041,1041,13,0.0004976194883318847,2.5251450317486864e-16,11
230,230,16,0.0007142819913623654,3.069089826316101e-18,61
405,405,4,0.00015083804458723818,9.822616892182004e-18,61
172,172,47,0.004476121353754668,5.682170934369698e-16,4
1042,1042,3,0.0001569142172627337,5.111603247980472e-19,2
740,740,1,0.00011774564787890202,1.914245255461851e-18,1
1043,1043,14,0.00017206076634296627,2.9192664727709557e-18,14
58,58,13,0.00030425451243163353,3.2716869050689862e-18,135
292,292,7,0.000177950066022411,3.821938836152872e-18,17
321,321,9,0.0002622627557985171,4.392968161369482e-18,18
1044,1044,4,0.00015056115698698088,-4.390447321133807e-17,1
182,182,122,0.0035433960205119392,0.09226129724705742,4
1045,1045,9,0.00041667187898524664,0.007178219600961937,1
176,176,13,0.000406039383012517,3.965648431438018e-17,1
1046,1046,4,0.00021195050847758073,1.3186242546325296e-17,1
1047,1047,15,0.00016282695640621505,0.009037631583604606,71
66,66,18,0.0017845421878547973,-7.105238081966305e-17,1
842,842,4,0.0024777531777598334,0.06376126220054108,1
1048,1048,1,0.0004222336074194178,3.026850804871057e-17,1
1049,1049,2,0.00031530765770864484,2.281734050700474e-17,2
475,475,1,0.00031530765770864484,2.4179157623657324e-17,1
407,407,28,0.0010164786587721882,1.3726105245557326e-17,9
1050,1050,16,0.00045273916592725996,-6.459720952513739e-17,1
1051,1051,2,0.0002581361019226056,-7.081248300883462e-18,1
1052,1052,1,0.00018032028171923467,2.9429374493805974e-18,1
1053,1053,6,0.00013568642078384347,2.392660130437644e-17,13
1054,1054,2,0.00024497047574487894,0.004427443447659803,1
1055,1055,2,0.00013040101269970564,2.3670884260423884e-17,1
983,983,1,0.00012930581276683278,2.0209457962988155e-17,1
989,989,23,0.0008864552827547003,0.0004152946557441661,8
1056,1056,1,0.00012930581276683278,2.3356105679293448e-17,1
417,417,12,0.00020401451967313775,2.105449250242419e-17,13
1057,1057,1,0.00047354066329887025,4.819121665366369e-17,1
1058,1058,6,0.0007475297493554444,0.0004770219718147807,1
1059,1059,1,0.000309873999027041,0.004193940856241627,1
1060,1060,3,0.000309873999027041,0.004193940856241628,3
575,575,44,0.002635254349046899,0.023575506095674416,1
193,193,50,0.002015585543905998,0.004193940856241574,4
993,993,11,0.0012595005474175848,0.005361205293041083,2
1061,1061,7,0.0005161127315025322,0.00838788171248327,1
171,171,21,0.0011393276722861867,2.775794921641165e-16,1
1062,1062,4,0.0002001562118687402,-7.859470900327492e-18,1
1063,1063,19,0.000449835235331871,-4.2181321465623257e-17,6
39,39,117,0.00435495578559273,0.005001543075380935,2
1064,1064,51,0.002487701010248141,0.004365042209911328,8
1065,1065,1,0.0001638019171014673,-1.2632750553988962e-18,1
1066,1066,3,0.0002634446074103902,-2.3763528784320703e-17,1
1067,1067,1,0.00016905943317506103,5.003650497201307e-18,1
1068,1068,5,0.0004073313025494154,1.7845052964369835e-16,6
1069,1069,16,0.0005413025007388397,2.483977830945213e-16,59
426,426,11,0.0005239511853934231,2.1095916861310915e-16,59
552,552,4,0.0003985151749667858,1.7639732167444418e-16,36
210,210,13,0.0007841250729665947,2.636956556547696e-16,19
394,394,24,0.0006579421132733948,2.2851840471016664e-16,35
1070,1070,1,0.0003985151749667858,1.9825076981274715e-16,1
378,378,16,0.0011105827028882753,0.10390566729566107,2
212,212,121,0.006983987914205588,2.8012665196483887e-16,1
1071,1071,7,0.00013284913853140324,-1.3249373814657932e-19,17
1072,1072,5,0.00013284913853140324,-2.254423543776052e-19,44
1073,1073,5,0.00034853583326831657,-4.703741475058108e-17,1
704,704,13,0.0005906977509012681,0.0028811879264963973,1
770,770,3,0.0011715981884600063,0.017690022257238296,2
1074,1074,2,0.0015960894662687176,0.017664856493730077,1
577,577,22,0.0005975229555608294,0.0011672644367994118,11
1075,1075,10,0.0002701814863409841,-5.493628500170781e-17,8
1076,1076,1,0.0001865519703926138,-1.966560979005593e-17,1
1077,1077,11,0.0005752296152766775,-4.123954937736524e-17,1
639,639,3,0.00019116808962888488,-1.4256227120825197e-17,2
1078,1078,3,0.0003059134036657894,0.0017139234896969846,2
1079,1079,1,0.0001865519703926138,-2.0150430233297056e-17,1
1080,1080,1,0.00031034891538206063,-8.761041617835241e-18,1
240,240,9,0.0002244733324399242,1.0660031838950781e-17,9
