Source,Target,Type,Id,Label,Weight,key
0,1,Directed,0,,1,0
0,2,Directed,1,,1,0
0,3,Directed,2,,1,0
0,4,Directed,3,,1,0
0,5,Directed,4,,1,0
1,6,Directed,5,,924,923
1,7,Directed,929,,924,923
1,8,Directed,1853,,924,923
1,9,Directed,2777,,924,923
1,10,Directed,3701,,852,851
1,11,Directed,4553,,923,922
1,12,Directed,5476,,923,922
1,13,Directed,6399,,924,923
1,14,Directed,7323,,924,923
1,15,Directed,8247,,55,54
1,16,Directed,8302,,4,3
1,17,Directed,8306,,4,3
1,18,Directed,8310,,1,0
1,19,Directed,8311,,1,0
1,20,Directed,8312,,1,0
1,21,Directed,8313,,8,7
3,10,Directed,8321,,1205,1204
3,14,Directed,9526,,1299,1298
3,24,Directed,10825,,1299,1298
3,25,Directed,12124,,1299,1298
3,15,Directed,13423,,72,71
3,17,Directed,13495,,1,0
3,18,Directed,13496,,4,3
3,21,Directed,13500,,17,16
4,10,Directed,13517,,1,0
4,2,Directed,13518,,1,0
4,26,Directed,13519,,1,0
4,27,Directed,13520,,1,0
6,10,Directed,13521,,866,865
6,15,Directed,14387,,58,57
6,16,Directed,14445,,4,3
6,17,Directed,14449,,4,3
6,18,Directed,14453,,1,0
6,21,Directed,14454,,8,7
8,2895,Directed,14462,,20,19
8,2072,Directed,14482,,9,8
8,68,Directed,14491,,2,1
8,3026,Directed,14493,,2,1
8,228,Directed,14495,,2,1
14,22,Directed,14497,,6487,6486
14,23,Directed,20984,,5,4
20,13,Directed,20989,,30,29
20,2564,Directed,21019,,3,2
20,2565,Directed,21022,,33,32
26,28,Directed,21055,,1,0
26,29,Directed,21056,,1,0
26,10,Directed,21057,,1,0
26,30,Directed,21058,,1,0
26,31,Directed,21059,,1,0
27,10,Directed,21060,,1606,1605
27,15,Directed,22666,,231,230
27,17,Directed,22897,,47,46
27,16,Directed,22944,,13,12
27,50,Directed,22957,,1,0
27,18,Directed,22958,,8,7
27,51,Directed,22966,,2,1
31,32,Directed,22968,,4282,4281
31,33,Directed,27250,,4268,4267
31,34,Directed,31518,,4286,4285
31,35,Directed,35804,,4275,4274
31,36,Directed,40079,,66,65
31,37,Directed,40145,,21,20
31,38,Directed,40166,,3,2
31,39,Directed,40169,,1,0
31,40,Directed,40170,,1,0
31,41,Directed,40171,,7,6
31,42,Directed,40178,,6,5
31,43,Directed,40184,,5,4
