ID,Packages,Pageranks,Risk_Score
31,requests-2.28.2,0.025964,0.479586308
10,numpy-1.24.2,0.024948,0.260893907
22,six-1.16.0,0.020897,0.654854174
219,setuptools-67.6.1,0.008323,0.400968822
143,click-8.1.3,0.007014,0.781040554
184,pyyaml-6.0,0.006842,0.582502359
155,cffi-1.15.1,0.00673,0.684789558
3,pandas-2.0.0,0.006316,0.352055022
27,scipy-1.10.1,0.006276,0.337577653
15,numpy-1.23.5,0.005681,0.260893907
14,python-dateutil-2.8.2,0.005547,0.838665925
249,typing-extensions-4.5.0,0.004811,0.658811077
1,matplotlib-3.7.1,0.004566,0.396813469
32,certifi-2022.12.7,0.003763,0.607135444
11,packaging-23.1,0.00359,0.593759389
97,protobuf-4.22.3,0.00359,0.83198489
34,idna-3.4,0.003475,0.638660348
152,cryptography-40.0.2,0.003152,0.494391255
24,pytz-2023.3,0.003114,0.786790187
228,lxml-4.9.2,0.003007,0.694764462
156,pycparser-2.21,0.002986,0.722789175
12,pillow-9.5.0,0.002966,0.390081507
145,jinja2-3.1.2,0.002919,0.785435104
