Package,Overall,FinalRiskScore,Score
flatbuffers,7.73,0.638825452,99
charset-normalizer,7.54,0.753981657,91
requests,7.51,0.515598341,96
pyhanko,6.95,0.657217689,87
defusedxml,6.84,0.934873627,75
functions-framework,6.76,0.7688418,83
botocore,6.73,0.294020913,100
cryptography,6.59,0.847395434,97
click,6.57,0.786075881,97
aiohttp,6.57,0.327320982,97
pyarrow,6.54,0.534830208,94
flask,6.46,0.763313977,97
twisted,6.46,0.552022574,89
presidio-analyzer,6.46,0.587152631,81
presidio-anonymizer,6.46,0.588974631,87
markupsafe,6.43,0.855779958,93
certifi,6.41,0.607135444,91
coverage,6.41,0.397446824,97
attrs,6.35,0.827546126,96
scapy,6.32,0.646791599,88
jsii,6.32,0.55815574,97
google-cloud-secret-manager,6.27,0.757513973,100
google-cloud-resource-manager,6.27,0.752782276,94
google-cloud-appengine-logging,6.27,0.789872127,100
google-cloud-datacatalog,6.27,0.750063827,97
google-cloud-container,6.27,0.751118279,97
google-cloud-language,6.27,0.725861571,97
google-cloud-bigquery-datatransfer,6.27,0.747056196,97
google-cloud-workflows,6.27,0.774561121,97
google-cloud-redis,6.27,0.759500125,97
google-cloud-recommendations-ai,6.27,0.78263801,97
google-cloud-dataplex,6.27,0.804686013,97
google-cloud-dataproc-metastore,6.27,0.785848744,97
google-cloud-orchestration-airflow,6.27,0.789801136,91
google-cloud-memcache,6.27,0.779726908,97
google-cloud-dataform,6.27,0.812058141,97
google-cloud-texttospeech,6.27,0.746031872,97
google-cloud-iam,6.27,0.758703033,93
google-cloud-artifact-registry,6.27,0.774823025,93
google-cloud-scheduler,6.27,0.754784141,93
google-cloud-private-ca,6.27,0.767044412,93
google-cloud-os-config,6.27,0.779472389,93
google-cloud-certificate-manager,6.27,0.811758683,88
google-cloud-dialogflow-cx,6.27,0.762607008,93
google-cloud-recaptcha-enterprise,6.27,0.768566551,93
google-cloud-batch,6.27,0.799077981,93
google-cloud-functions,6.27,0.77691577,93
